Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",254104013.0,163052007,254104013.0,2482,2482.00,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2288411000000115.0,705031001,2463941000000119.0,38Q3,38Q3.00,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119.0,302357009,443996017.0,7A661-1,7A66111,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115.0,302357009,443996017.0,7A661-2,7A66112,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011.0,15617002,1221208011.0,7A67,7A67.00,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272209014.0,175819004,272209014.0,7A672,7A67200,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394358017.0,265543008,394358017.0,7A673,7A67300,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",743601000006118.0,265543008,394358017.0,7A673-1,7A67311,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013.0,15617002,26472016.0,7A67y,7A67y00,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014.0,15617002,1221208011.0,7A67z,7A67z00,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",360251000000111.0,429623000,2900604011.0,7A683,7A68300,Transilluminated powered phlebectomy of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394359013.0,9365003,16429014.0,7A692,7A69200,Stripping of varicose vein of leg NEC
