Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Disorders of bone density and structure,5992471000006115.0,309745002,453226012.0,^ESCTOS599247,,Osteoporosis localized to spine
Disorders of bone density and structure,1485098013.0,391070005,1485098013.0,58EG,58EG.00,Hip DXA scan result osteoporotic
Disorders of bone density and structure,1485103010.0,391075000,1485103010.0,58EM,58EM.00,Lumbar DXA scan result osteoporotic
Disorders of bone density and structure,668551000000116.0,440100002,3013373010.0,58EV,58EV.00,Femoral neck DEXA scan result osteoporotic
Disorders of bone density and structure,1715131000006113.0,505171000000102,1152201000000112.0,9kj0,9kj0.00,Bone sparing drug treatment offered for osteoporosis - ESA
Disorders of bone density and structure,107806013.0,64859006,107806013.0,N330,N330.00,Osteoporosis
Disorders of bone density and structure,312124013.0,64859006,107806013.0,N3300,N330000,"Osteoporosis, unspecified"
Disorders of bone density and structure,30475015.0,18040001,30475015.0,N3301,N330100,Senile osteoporosis
Disorders of bone density and structure,54058015.0,102447009,165682016.0,N3302,N330200,Postmenopausal osteoporosis
Disorders of bone density and structure,786501000006117.0,203429007,312126010.0,N3303,N330300,Idiopathic osteoporosis
Disorders of bone density and structure,625381000006110.0,53174001,88440018.0,N3304,N330400,Dissuse osteoporosis
Disorders of bone density and structure,24883018.0,14651005,24883018.0,N3305,N330500,Drug-induced osteoporosis
Disorders of bone density and structure,312133010.0,203433000,312133010.0,N3306,N330600,Postoophorectomy osteoporosis
Disorders of bone density and structure,212431000006119.0,203434006,312134016.0,N3307,N330700,Postsurgical malabsorption osteoporosis
Disorders of bone density and structure,312138018.0,203437004,312138018.0,N330A,N330A00,Osteoporosis in endocrine disorders
Disorders of bone density and structure,312139014.0,203438009,312139014.0,N330B,N330B00,Vertebral osteoporosis
Disorders of bone density and structure,453226012.0,309745002,453225011.0,N330C,N330C00,Osteoporosis localized to spine
Disorders of bone density and structure,1484866013.0,390833005,1484866013.0,N330D,N330D00,Osteoporosis due to corticosteroids
Disorders of bone density and structure,312142015.0,64859006,107806013.0,N330z,N330z00,Osteoporosis NOS
Disorders of bone density and structure,312156018.0,203444008,312156018.0,N3312,N331200,Postoophorectomy osteoporosis with pathological fracture
Disorders of bone density and structure,312157010.0,203445009,312157010.0,N3313,N331300,Osteoporosis of disuse with pathological fracture
Disorders of bone density and structure,212441000006112.0,203446005,312158017.0,N3314,N331400,Postsurgical malabsorption osteoporosis with path fracture
Disorders of bone density and structure,312159013.0,203447001,312159013.0,N3315,N331500,Drug-induced osteoporosis with pathological fracture
Disorders of bone density and structure,312160015.0,203448006,312160015.0,N3316,N331600,Idiopathic osteoporosis with pathological fracture
Disorders of bone density and structure,40881000006116.0,203450003,312162011.0,N3318,N331800,Osteoporosis + pathological fracture lumbar vertebrae
Disorders of bone density and structure,40891000006118.0,203451004,312163018.0,N3319,N331900,Osteoporosis + pathological fracture thoracic vertebrae
Disorders of bone density and structure,40871000006119.0,203452006,312164012.0,N331A,N331A00,Osteoporosis + pathological fracture cervical vertebrae
Disorders of bone density and structure,312165013.0,203453001,312165013.0,N331B,N331B00,Postmenopausal osteoporosis with pathological fracture
Disorders of bone density and structure,216206018.0,443165006,2837900019.0,N331M,N331M00,Fragility fracture due to unspecified osteoporosis
Disorders of bone density and structure,556881000000111.0,443165006,2837900019.0,N331M-1,N331M11,Minimal trauma fracture due to unspecified osteoporosis
Disorders of bone density and structure,545121000000114.0,306171000000106,545121000000114.0,N331N,N331N00,Fragility fracture
Disorders of bone density and structure,557111000000111.0,306171000000106,557111000000111.0,N331N-1,N331N11,Minimal trauma fracture
Disorders of bone density and structure,312441019.0,203657009,312441019.0,N3746,N374600,Osteoporotic kyphosis
Disorders of bone density and structure,312681016.0,443165006,2837900019.0,NyuB0,NyuB000,[X]Other osteoporosis with pathological fracture
Disorders of bone density and structure,312682011.0,64859006,107806013.0,NyuB1,NyuB100,[X]Other osteoporosis
Disorders of bone density and structure,312683018.0,64859006,107806013.0,NyuB2,NyuB200,[X]Osteoporosis in other disorders classified elsewhere
Disorders of bone density and structure,312689019.0,443165006,2837900019.0,NyuB8,NyuB800,[X]Unspecified osteoporosis with pathological fracture
