Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,1012911000006111.0,1012911000006107,1012911000006111.0,ALLERGY4.10,,Adverse reaction to Drugs used in Substance Dependence
Drug or alcohol misuse,968671000006118.0,968671000006102,968671000006118.0,EMISNQCU1,,Currently injecting drugs
Drug or alcohol misuse,877631000006115.0,637591000000102,877631000006115.0,7L19y-99,7L19y99,Hypodermic drug injection
Drug or alcohol misuse,877611000006114.0,265761001,877611000006114.0,7L182-99,7L18299,Intramuscular drug injection
Drug or alcohol misuse,1973701000006119.2,1973701000006103,1973701000006119.2,EMISICD10|F1020,,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent"
Drug or alcohol misuse,1974141000006118.0,1974141000006102,1974141000006118.0,EMISICD10|F1026,,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]"
Drug or alcohol misuse,1976611000006118.0,1976611000006102,1976611000006118.0,EMISICD10|F1125,,"Mental and behav dis due to use opioids: dependence syndr, continuous use"
Drug or alcohol misuse,968691000006117.0,968691000006101,968691000006117.0,EMISNQMI6,,Misuse of Cannabis herbal
Drug or alcohol misuse,968731000006113.0,968731000006109,968731000006113.0,EMISNQMI9,,Misuse of Cannabis herbal (skunk)
Drug or alcohol misuse,968711000006119.0,968711000006103,968711000006119.0,EMISNQMI7,,Misuse of Cannabis resin
Drug or alcohol misuse,968681000006115.0,968681000006104,968681000006115.0,EMISNQMI5,,Misuse of Cannabis unspecified
Drug or alcohol misuse,969781000006115.0,969781000006104,969781000006115.0,EMISNQMI93,,Misuse of Cocaine freebase (crack)
Drug or alcohol misuse,969761000006113.0,969761000006109,969761000006113.0,EMISNQMI91,,Misuse of Cocaine unspecified
Drug or alcohol misuse,968761000006116.0,968761000006100,968761000006116.0,EMISNQMI10,,Misuse of Heroin illicit
Drug or alcohol misuse,969331000006115.0,969331000006104,969331000006115.0,EMISNQMI52,,Misuse of Opiate compound analgesics
Drug or alcohol misuse,969261000006119.0,969261000006103,969261000006119.0,EMISNQMI45,,Misuse of Opiate containing mixture
Drug or alcohol misuse,969011000006112.0,969011000006108,969011000006112.0,EMISNQMI21,,Misuse of Opiates unspecified
Drug or alcohol misuse,969391000006116.0,969391000006100,969391000006116.0,EMISNQMI58,,Misuse of other Opiates
Drug or alcohol misuse,882501000006119.0,191816009,882501000006119.0,E24-99,E24..99,Morphine/cocaine dependence
Drug or alcohol misuse,2639961000000113.0,1047881000000106,2639961000000113.0,13cM1,,Opioid analgesic dependence
Drug or alcohol misuse,1809471000006115.2,2403008,5114014.0,E24-100,,Substance dependence
Drug or alcohol misuse,968631000006116.0,968631000006100,968631000006116.0,EMISNQND8,,Substance misuse of Amphetamines
Drug or alcohol misuse,969401000006119.0,969401000006103,969401000006119.0,EMISNQND16,,Substance misuse of Benzodiazepines
Drug or alcohol misuse,968651000006111.0,968651000006107,968651000006111.0,EMISNQND9,,Substance misuse of Cannabis
Drug or alcohol misuse,969711000006110.0,969711000006106,969711000006110.0,EMISNQND18,,Substance misuse of Cocaine
Drug or alcohol misuse,969741000006114.0,969741000006105,969741000006114.0,EMISNQND19,,Substance misuse of Crack
Drug or alcohol misuse,969701000006112.0,969701000006108,969701000006112.0,EMISNQND17,,Substance misuse of Ecstasy
Drug or alcohol misuse,968741000006115.0,968741000006104,968741000006115.0,EMISNQND10,,Substance misuse of Heroin
Drug or alcohol misuse,968841000006110.0,968841000006106,968841000006110.0,EMISNQND14,,Substance misuse of Methadone
Drug or alcohol misuse,969001000006114.0,969001000006105,969001000006114.0,EMISNQND15,,Substance misuse of other Opiates
Drug or alcohol misuse,969991000006115.0,969991000006104,969991000006115.0,EMISNQND22,,Substance misuse of other drugs
Drug or alcohol misuse,970531000006111.0,970531000006107,970531000006111.0,EMISNQND26,,Substance misuse of poly drug
Drug or alcohol misuse,910581000006116.0,910581000006100,910581000006116.0,HNGNQRF103,,[RFC] Drug/ substance abuse
Drug or alcohol misuse,910601000006114.0,910601000006105,910601000006114.0,HNGNQRF105,,[RFC] Substance abuse
Drug or alcohol misuse,1110001000006119.0,1110001000006103,1110001000006119.0,ALLERGY267,,Adverse reaction to Buprenorphine
Drug or alcohol misuse,851461000006115.0,851461000006104,851461000006115.0,EMISQDR1,,Drug misuse behaviour
Drug or alcohol misuse,852211000006112.0,852211000006108,852211000006112.0,EMISQMI2,,Misused drugs in past
Drug or alcohol misuse,1854731000006115.2,1854731000006104,1854731000006115.2,EMISNQSE108,,Seen in drug misuse clinic
Drug or alcohol misuse,2533732013.0,415661006,2533732013.0,13c5,13c5.00,Substance misuse increased
Drug or alcohol misuse,2533731018.0,415660007,2533731018.0,13c6,13c6.00,Substance misuse decreased
Drug or alcohol misuse,2548235012.0,417284009,2548235012.0,13c7,13c7.00,Current drug user
Drug or alcohol misuse,2549278014.0,416751004,2549278014.0,13c8,13c8.00,Reduced drugs misuse
Drug or alcohol misuse,2551020015.0,228386005,2551020015.0,13c9,13c9.00,Subcutaneous drug user
Drug or alcohol misuse,342443012.0,228377000,342443012.0,13cA,13cA.00,Smokes drugs
Drug or alcohol misuse,342441014.0,228375008,342441014.0,13cB,13cB.00,Misuses drugs orally
Drug or alcohol misuse,2548767014.0,416262000,2548767014.0,13cC,13cC.00,Continuous use of drugs
Drug or alcohol misuse,2548201014.0,417252002,2548201014.0,13cD,13cD.00,Episodic use of drugs
Drug or alcohol misuse,2548750019.0,416246006,2548750019.0,13cE,13cE.00,Prolonged high dose use of cannabis
Drug or alcohol misuse,2548950012.0,416437003,2548950012.0,13cF,13cF.00,Preoccupied with substance misuse
Drug or alcohol misuse,2548434014.0,417471002,2548434014.0,13cH,13cH.00,Persistent substance misuse
Drug or alcohol misuse,2548992019.0,416479009,2548992019.0,13cJ,13cJ.00,Previously injecting drug user
Drug or alcohol misuse,406071000000119.0,248021000000105,406071000000119.0,13cK,13cK.00,Current non recreational drug user
