Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Eating disorders,882611000006115.0,608241000000102,882611000006115.0,E275-99,E275.99,Eating disorder NOS - psychog.
Eating disorders,1620911000006112.0,1620911000006108,1620911000006112.0,EMISNQEA3,,Eating disorders
Eating disorders,1664151000006114.0,1664151000006105,1664151000006114.0,EMISNQSE25,,Seen in eating disorders clinic
Eating disorders,94597012.0,56882008,94597012.0,E271,E271.00,Anorexia nervosa
Eating disorders,527421000006116.0,78004001,129452012.0,E2751,E275100,Bulimia (non-organic overeating)
Eating disorders,363321000006111.0,56882008,94597012.0,Eu500,Eu50000,[X]Anorexia nervosa
Eating disorders,366521000006113.0,231522009,347005011.0,Eu501,Eu50100,[X]Atypical anorexia nervosa
Eating disorders,368051000006111.0,78004001,129452012.0,Eu502,Eu50200,[X]Bulimia nervosa
Eating disorders,368061000006113.0,78004001,129452012.0,Eu502-1,Eu50211,[X]Bulimia NOS
Eating disorders,366541000006118.0,231523004,347006012.0,Eu503,Eu50300,[X]Atypical bulimia nervosa
Eating disorders,1222496015.0,78004001,129453019.0,R0360-1,R036011,[D]Bulimia NOS
