Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Fibrosing alveolitis/unspecified alveolitis,909731000006117.0,909731000006101,909731000006117.0,HNGNQRF18,,[RFC] Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,3336411000006117.0,51615001,85961019.0,^ESCTCI333641,,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,1.2757781000006112e+16,45157009,75302014.0,^ESCT1275778,,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,5492481000006115.0,266368002,3035384014.0,^ESCTPO549248,,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,885491000006116.0,51615001,885491000006116.0,H5631-99,H563199,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,254003016.0,162974009,254003016.0,23E5,23E5.00,O/E - fibrosis of lung present
Fibrosing alveolitis/unspecified alveolitis,254002014.0,162974009,254002014.0,23E5-1,23E5.11,O/E - fibrosis of lung
Fibrosing alveolitis/unspecified alveolitis,211391000006118.0,266368002,396123011.0,H55,H55..00,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85961019.0,266368002,396123011.0,H55-1,H55..11,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,75302014.0,700250006,2989716019.0,H563,H563.00,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,815341000006115.0,236302005,2579204016.0,H563-1,H563.11,Hamman - Rich syndrome
Fibrosing alveolitis/unspecified alveolitis,196654011.0,700250006,2989718018.0,H563-2,H563.12,Cryptogenic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,1786131000006116.0,700250006,2989760019.0,H563-3,H563.13,Idiopathic pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,621121000006112.0,196125002,301706014.0,H5631,H563100,Diffuse pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,85960018.0,51615001,85960018.0,H5632,H563200,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,2475606014.0,196125002,2475606014.0,H5633,H563300,Usual interstitial pneumonitis
Fibrosing alveolitis/unspecified alveolitis,301709019.0,700250006,2989716019.0,H563z,H563z00,Idiopathic fibrosing alveolitis NOS
Fibrosing alveolitis/unspecified alveolitis,301852014.0,233703007,350185018.0,Hyu50,Hyu5000,[X]Other interstitial pulmonary diseases with fibrosis
