Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Glaucoma,3753261000006113.5,77075001,503455016.0,^ESCTCO375326,,COAG - Chronic open-angle glaucoma
Glaucoma,3753251000006112.0,77075001,503454017.0,^ESCTCS375325,,CSG - Chronic simple glaucoma
Glaucoma,3041311000006118.0,33647009,485587011.0,^ESCTCH304131,,Chronic angle-closure glaucoma
Glaucoma,856601000006111.0,856601000006107,856601000006111.0,EMISQGL2,,Glaucoma left eye
Glaucoma,856591000006115.0,856591000006104,856591000006115.0,EMISQGL1,,Glaucoma right eye
Glaucoma,3564451000006117.0,65460003,108757016.0,^ESCTIN356445,,Intermittent angle-closure glaucoma
Glaucoma,3317631000006118.0,50485007,495682014.0,^ESCTNO331763,,Normal tension glaucoma
Glaucoma,3753241000006111.0,77075001,503453011.0,^ESCTPO375324,,POAG - Primary open-angle glaucoma
Glaucoma,6532921000006114.0,392300000,1486280011.0,^ESCTPH653292,,Phacomorphic glaucoma
Glaucoma,883291000006119.0,392288006,883291000006119.0,F452-99,F452.99,Primary closed-angle glaucoma
Glaucoma,3753211000006111.0,77075001,127956010.0,^ESCTPR375321,,Primary open angle glaucoma
Glaucoma,4772381000006115.0,193561006,298063016.0,^ESCTSE477238,,Secondary angle-closure glaucoma with pupil block
Glaucoma,883301000006118.0,660261000000103,883301000006118.0,F45y-99,F45y.99,Secondary/other glaucoma
Glaucoma,298050010.0,193548006,298050010.0,F4530,F453000,Steroid-induced glaucoma glaucomatous stage
Glaucoma,907841000006110.0,907841000006106,907841000006110.0,HNG0260,,[RFC] Glaucoma
Glaucoma,7089411000006113.0,428494000,3032787012.0,^ESCTNE708941,,Needling of bleb following glaucoma surgery
Glaucoma,1.273115100000611e+16,660261000000103,1450301000000118.0,^ESCT1273115,,Other specified forms of glaucoma
Glaucoma,383421000000110.0,236891000000101,383421000000110.0,72590,7259000,Needling of bleb following glaucoma surgery
Glaucoma,378701000000110.0,234611000000100,378701000000110.0,72594,7259400,Laser suture lysis following glaucoma surgery
Glaucoma,378721000000118.0,792741000000100,1772301000000112.0,7259y,7259y00,Other specified operations following glaucoma surgery
Glaucoma,249331000006112.0,172586003,267176015.0,7275,7275.00,Pan retinal photocoagulation for glaucoma
Glaucoma,802901000006112.0,19144002,32262013.0,F4042-1,F404211,Glaucoma - absolute
Glaucoma,40268016.0,23986001,40268016.0,F45,F45..00,Glaucoma
Glaucoma,264071000006115.0,193533000,298026013.0,F4501,F450100,Open angle glaucoma with borderline intraocular pressure
Glaucoma,140102012.0,84494001,140102012.0,F451,F451.00,Open-angle glaucoma
Glaucoma,298034019.0,84494001,140102012.0,F4510,F451000,Unspecified open-angle glaucoma
Glaucoma,503452018.0,77075001,503452018.0,F4511,F451100,Primary open-angle glaucoma
Glaucoma,141721000006112.0,77075001,503452018.0,F4511-1,F451111,Simple chronic glaucoma
Glaucoma,734071000006115.0,50485007,84105018.0,F4512,F451200,Low tension glaucoma
Glaucoma,495680018.0,50485007,495680018.0,F4512-1,F451211,Normal pressure glaucoma
Glaucoma,47081000006113.0,66990007,111276019.0,F4515,F451500,Open-angle glaucoma residual stage
Glaucoma,298042018.0,84494001,140102012.0,F451z,F451z00,Open-angle glaucoma NOS
Glaucoma,1486268015.0,392288006,1486268015.0,F452,F452.00,Primary angle-closure glaucoma
Glaucoma,560611000006117.0,392288006,1486268015.0,F452-1,F452.11,Closed angle glaucoma
Glaucoma,298047012.0,392288006,1486268015.0,F4520,F452000,Unspecified primary angle-closure glaucoma
Glaucoma,770481000006118.0,65460003,1232679017.0,F4521,F452100,Intermittent primary angle-closure glaucoma
Glaucoma,556201000006114.0,33647009,485588018.0,F4523,F452300,Chronic primary angle-closure glaucoma
Glaucoma,298048019.0,193546005,298048019.0,F4524,F452400,Primary angle-closure glaucoma residual stage
Glaucoma,347744010.0,232080006,347744010.0,F4525,F452500,Plateau iris
Glaucoma,298049010.0,392288006,1486268015.0,F452z,F452z00,Primary angle-closure glaucoma NOS
Glaucoma,298072012.0,23986001,40268016.0,F45y,F45y.00,Other specified forms of glaucoma
Glaucoma,84105018.0,50485007,84105018.0,F45y2,F45y200,Low tension glaucoma
Glaucoma,298074013.0,23986001,40268016.0,F45yz,F45yz00,Other specified glaucoma NOS
Glaucoma,298075014.0,23986001,40268016.0,F45z,F45z.00,Glaucoma NOS
Glaucoma,1232965011.0,67733005,1232965011.0,F4631,F463100,Glaucomatous subcapsular flecks
Glaucoma,388091000006115.0,23986001,40268016.0,FyuG,FyuG.00,[X]Glaucoma
