Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
In situ neoplasms,881181000006112.0,189336000,881181000006112.0,B830-99,B830.99,Carcinoma in situ breast
In situ neoplasms,290868010.0,189336000,290868010.0,B830,B830.00,Carcinoma in situ of breast
In situ neoplasms,292214019.0,189336000,290868010.0,ByuFG,ByuFG00,[X]Other carcinoma in situ of breast
In situ neoplasms,310951000006110.0,302836005,444775014.0,BBEF-1,BBEF.11,[M]Lentigo maligna
In situ neoplasms,310961000006112.0,302836005,444775014.0,BBEG-1,BBEG.11,[M]Lentigo maligna melanoma
In situ neoplasms,4006901000006117.0,92605003,1235747011.0,^ESCTCA400690,,Carcinoma in situ of gingiva
In situ neoplasms,4007771000006112.0,92668003,1235757012.0,^ESCTCA400777,,Carcinoma in situ of mesopharynx
In situ neoplasms,4007711000006115.0,92664001,510063016.0,^ESCTCA400771,,Carcinoma in situ of epipharynx
In situ neoplasms,4006741000006119.0,92595004,510042018.0,^ESCTFO400674,,FOM - Carcinoma in situ of floor of mouth
In situ neoplasms,4007641000006111.0,92660005,3036137011.0,^ESCTCA400764,,Cancer in situ of mouth
In situ neoplasms,4007781000006111.0,92668003,3036227013.0,^ESCTCA400778,,Cancer in situ of oropharynx
In situ neoplasms,4007721000006111.0,92664001,510064010.0,^ESCTCA400772,,Carcinoma in situ of postnasal space
In situ neoplasms,4007001000006116.0,92612007,1235749014.0,^ESCTCA400700,,Carcinoma in situ of laryngopharynx
In situ neoplasms,4007761000006117.0,92668003,1235756015.0,^ESCTCA400776,,Carcinoma situ of oropharynx
In situ neoplasms,4007701000006119.0,92664001,510062014.0,^ESCTPN400770,,PNS - carcinoma in situ of postnasal space
In situ neoplasms,4007961000006119.0,92681005,3036384017.0,^ESCTCA400796,,Cancer in situ of pharynx
In situ neoplasms,4006911000006119.0,92605003,3036107019.0,^ESCTCA400691,,Cancer in situ of gum
In situ neoplasms,5523431000006112.0,271325000,3084642019.0,^ESCTCA552343,,"Carcinoma in situ of lip, oral cavity and/or pharynx"
In situ neoplasms,1.1923431000006116e+16,271325000,406054011.0,^ESCT1192343,,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,290718013.0,92660005,153252016.0,B800z,B800z00,"Carcinoma in situ of lip, oral cavity and pharynx NOS"
In situ neoplasms,4007011000006119.0,92612007,3036240015.0,^ESCTCA400701,,Cancer in situ of hypopharynx
In situ neoplasms,153382013.0,92769003,153382013.0,B8001,B800100,Carcinoma in situ of tongue
In situ neoplasms,153229015.0,92643000,153229015.0,B8000,B800000,Carcinoma in situ of lip
In situ neoplasms,153265013.0,92668003,153265013.0,B8008,B800800,Carcinoma in situ of oropharynx
In situ neoplasms,153268010.0,92670007,153268010.0,B8006,B800600,Carcinoma in situ of palate
In situ neoplasms,153283017.0,92681005,153283017.0,B800-2,B800.12,Carcinoma in situ of pharynx
In situ neoplasms,290783010.0,189258000,290783010.0,B8106,B810600,Carcinoma in situ of aryepiglottic fold
In situ neoplasms,406054011.0,271325000,406054011.0,B800,B800.00,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,510061019.0,92660005,510061019.0,B800-1,B800.11,Carcinoma in situ of oral cavity
In situ neoplasms,153169012.0,92595004,153169012.0,B8004,B800400,Carcinoma in situ of floor of mouth
In situ neoplasms,153258017.0,92664001,153258017.0,B8007,B800700,Carcinoma in situ of nasopharynx
In situ neoplasms,535731000006116.0,92605003,153183014.0,B8003,B800300,Carcinoma in situ of gums
In situ neoplasms,4006091000006113.0,92558004,153122019.0,^ESCTCA400609,,Carcinoma in situ of buccal mucosa
In situ neoplasms,4009001000006111.0,92769003,3035939018.0,^ESCTCA400900,,Cancer in situ of tongue
In situ neoplasms,4006121000006112.0,92558004,510031010.0,^ESCTCA400612,,Carcinoma in situ of internal cheek
In situ neoplasms,4007811000006112.0,92670007,510067015.0,^ESCTCA400781,,Carcinoma in situ of roof of mouth
In situ neoplasms,4007621000006115.0,92660005,153252016.0,^ESCTCA400762,,Carcinoma in situ of mouth
In situ neoplasms,4007691000006119.0,92664001,153261016.0,^ESCTCA400769,,Carcinoma in situ of nasopharyngeal wall
In situ neoplasms,510029018.0,92558004,510029018.0,B8005,B800500,Carcinoma in situ of cheek
In situ neoplasms,153191017.0,92612007,153191017.0,B8009,B800900,Carcinoma in situ of hypopharynx
