Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Inflammatory diseases of the female pelvic organs,304667014.0,46536000,77563016.0,K4025,K402500,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304670013.0,46536000,77563016.0,K402z,K402z00,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,304664019.0,46536000,77563016.0,K402,K402.00,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304665018.0,76047005,126311015.0,K4023,K402300,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,3251461000006118.0,46536000,77563016.0,^ESCTTU325146,,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,3251491000006114.0,46536000,3005963013.0,^ESCTSA325149,,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3736891000006113.0,76047005,3005340013.0,^ESCTIN373689,,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,3251481000006111.0,46536000,3005141015.0,^ESCTIN325148,,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,54399018.0,32582007,54399018.0,K4010,K401000,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,304660011.0,198143006,304660011.0,K4014,K401400,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,3251471000006113.0,46536000,77564010.0,^ESCTSA325147,,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,304658014.0,198141008,304658014.0,K4011,K401100,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,3573011000006115.0,65984002,109584011.0,^ESCTFO357301,,Follicular salpingitis
Inflammatory diseases of the female pelvic organs,2617911000006116.0,7415003,13226012.0,^ESCTAB261791,,Abscess of ovary
Inflammatory diseases of the female pelvic organs,109583017.0,65984002,109583017.0,K4016,K401600,Salpingitis follicularis
Inflammatory diseases of the female pelvic organs,1233709015.0,7415003,1233709015.0,K4021,K402100,Ovarian abscess
Inflammatory diseases of the female pelvic organs,304717014.0,198188007,304715018.0,K411z,K411z00,Chronic uterine inflammatory disease NOS
Inflammatory diseases of the female pelvic organs,304715018.0,198188007,304715018.0,K411,K411.00,Chronic uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,29947013.0,17716001,29947013.0,K4111,K411100,Chronic endomyometritis
Inflammatory diseases of the female pelvic organs,304723016.0,88981003,147534012.0,K41z4,K41z400,Pyometra unspecified
Inflammatory diseases of the female pelvic organs,304706013.0,198179003,304706013.0,K41,K41..00,Uterine inflammatory diseases excluding the cervix
Inflammatory diseases of the female pelvic organs,22462017.0,13125003,22462017.0,K4112,K411200,Chronic myometritis
Inflammatory diseases of the female pelvic organs,63108018.0,37830006,63108018.0,K4113,K411300,Chronic perimetritis
Inflammatory diseases of the female pelvic organs,3946181000006112.0,88981003,3012582011.0,^ESCTPY394618,,Pyometrium
Inflammatory diseases of the female pelvic organs,1.2220871000006112e+16,198188007,3659621016.0,^ESCT1222087,,Chronic metritis
Inflammatory diseases of the female pelvic organs,304722014.0,15363000,26057013.0,K41z3,K41z300,Perimetritis unspecified
Inflammatory diseases of the female pelvic organs,2743801000006118.0,15363000,26057013.0,^ESCTME274380,,Metritis
Inflammatory diseases of the female pelvic organs,304686018.0,280486004,418100014.0,K4051,K405100,Pelvic cellulitis unspecified
Inflammatory diseases of the female pelvic organs,304687010.0,280486004,418100014.0,K405z,K405z00,Parametritis and pelvic cellulitis NOS
Inflammatory diseases of the female pelvic organs,304683014.0,237044002,355304013.0,K404z,K404z00,Chronic pelvic inflammatory diseases NOS
Inflammatory diseases of the female pelvic organs,304685019.0,280483007,418097016.0,K4050,K405000,Parametritis unspecified
Inflammatory diseases of the female pelvic organs,3007071000006112.0,31474007,52616018.0,^ESCTCH300707,,Chronic abscess of parametrium
Inflammatory diseases of the female pelvic organs,5638861000006118.0,280486004,418100014.0,^ESCTFE563886,,Female pelvic cellulitis
Inflammatory diseases of the female pelvic organs,3981211000006113.0,91155009,151043014.0,^ESCTCH398121,,Chronic abscess of pouch of Douglas
Inflammatory diseases of the female pelvic organs,3549431000006119.0,64532005,107251019.0,^ESCTCH354943,,Chronic abscess of female pelvis
Inflammatory diseases of the female pelvic organs,5102721000006114.0,237044002,355306010.0,^ESCTCH510272,,Chronic PID - Chronic pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,3549441000006112.0,64532005,1232566017.0,^ESCTCH354944,,Chronic pelvic abscess - female
Inflammatory diseases of the female pelvic organs,304695014.0,237044002,355303019.0,K408,K408.00,Other chronic female pelvic peritonitis
Inflammatory diseases of the female pelvic organs,304679014.0,198159006,304679014.0,K404,K404.00,Chronic parametritis and pelvic cellulitis
Inflammatory diseases of the female pelvic organs,304684015.0,280486004,418100014.0,K405,K405.00,Parametritis and pelvic cellulitis unspecified
Inflammatory diseases of the female pelvic organs,3758221000006111.0,77360001,128400018.0,^ESCTCH375822,,Chronic abscess of broad ligament
Inflammatory diseases of the female pelvic organs,1232567014.0,64532005,1232567014.0,K4043,K404300,Chronic abscess of the female pelvis
Inflammatory diseases of the female pelvic organs,1235638013.0,91155009,1235638013.0,K4044,K404400,Chronic abscess of the pouch of Douglas
Inflammatory diseases of the female pelvic organs,1227519016.0,31474007,1227519016.0,K4042,K404200,Chronic abscess of the parametrium
Inflammatory diseases of the female pelvic organs,1234099011.0,77360001,1234099011.0,K4041,K404100,Chronic abscess of the broad ligament
Inflammatory diseases of the female pelvic organs,4791531000006114.0,198161002,2475616018.0,^ESCTCH479153,,Chronic female pelvic peritonitis
Inflammatory diseases of the female pelvic organs,304682016.0,198161002,304682016.0,K4045,K404500,Female chronic pelvic peritonitis
Inflammatory diseases of the female pelvic organs,5103251000006116.0,237091009,355375010.0,^ESCTIN510325,,Infective vaginitis
Inflammatory diseases of the female pelvic organs,2996451000006114.0,30800001,484704013.0,^ESCTIN299645,,Inflammation of vagina
Inflammatory diseases of the female pelvic organs,6942631000006112.0,419760006,2580236010.0,^ESCTNO694263,,Nonspecific vaginitis
Inflammatory diseases of the female pelvic organs,1.1875901000006112e+16,419760006,3526369011.0,^ESCT1187590,,Nonspecific bacterial vaginosis
Inflammatory diseases of the female pelvic organs,5103261000006119.0,237091009,355373015.0,^ESCTVA510326,,Vaginal infection
Inflammatory diseases of the female pelvic organs,2729561000006119.0,14488001,24624012.0,^ESCTPO272956,,Postirradiation vaginitis
Inflammatory diseases of the female pelvic organs,5103271000006114.0,237091009,355374014.0,^ESCTPV510327,,PV - Vaginal infection
Inflammatory diseases of the female pelvic organs,2729571000006114.0,14488001,1221103010.0,^ESCTPO272957,,Post-irradiation vaginitis
Inflammatory diseases of the female pelvic organs,6942621000006114.0,419760006,2580235014.0,^ESCTNS694262,,NSV - Nonspecific vaginitis
Inflammatory diseases of the female pelvic organs,6942601000006116.0,419760006,2580233019.0,^ESCTBV694260,,BV - Bacterial vaginosis
