Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Iron deficiency anaemia,507619019.0,87522002,507616014.0,D0-1,D0...11,Asiderotic anaemia
Iron deficiency anaemia,507621012.0,87522002,507616014.0,D0-2,D0...12,Sideropenic anaemia
Iron deficiency anaemia,745851000006117.0,87522002,507616014.0,D00,D00..00,Iron deficiency anaemias
Iron deficiency anaemia,745811000006118.0,413533008,2532901013.0,D000,D000.00,Iron deficiency anaemia due to chronic blood loss
Iron deficiency anaemia,351092018.0,234352004,351092018.0,D000-1,D000.11,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,745801000006116.0,413533008,2532901013.0,D000-2,D000.12,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,293864013.0,191128004,293864013.0,D001,D001.00,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,399195014.0,87522002,507616014.0,D00y,D00y.00,Other specified iron deficiency anaemia
Iron deficiency anaemia,281961000006111.0,80126007,132937017.0,D00y-1,D00y.11,Kelly - Paterson syndrome
Iron deficiency anaemia,219431000006113.0,80126007,132937017.0,D00y-2,D00y.12,Plummer - Vinson syndrome
Iron deficiency anaemia,132939019.0,80126007,132939019.0,D00y0,D00y000,Sideropenic dysphagia
Iron deficiency anaemia,755101000006110.0,80126007,132937017.0,D00y0-1,D00y011,Kelly-Paterson syndrome
Iron deficiency anaemia,132937017.0,80126007,132937017.0,D00y0-2,D00y012,Plummer-Vinson syndrome
Iron deficiency anaemia,293877016.0,87522002,507616014.0,D00yz,D00yz00,Other specified iron deficiency anaemia NOS
Iron deficiency anaemia,293880015.0,87522002,507616014.0,D00z,D00z.00,Unspecified iron deficiency anaemia
Iron deficiency anaemia,504528016.0,80875006,504528016.0,D00z0,D00z000,Achlorhydric anaemia
Iron deficiency anaemia,293884012.0,87522002,507623010.0,D00z1,D00z100,Chlorotic anaemia
Iron deficiency anaemia,293888010.0,87522002,507616014.0,D00zz,D00zz00,Iron deficiency anaemia NOS
Iron deficiency anaemia,294567019.0,87522002,507616014.0,Dyu00,Dyu0000,[X]Other iron deficiency anaemias
