Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Ischaemic heart diseases,256458014.0,164870003,256458014.0,3235,3235.00,ECG: subendocardial infarct
Ischaemic heart diseases,256454011.0,164867002,256454011.0,3232,3232.00,ECG: old myocardial infarction
Ischaemic heart diseases,256459018.0,164871004,256459018.0,3236,3236.00,ECG: lateral infarction
Ischaemic heart diseases,635641000006111.0,164861001,1205556017.0,3222,3222.00,ECG:shows myocardial ischaemia
Ischaemic heart diseases,256457016.0,164869004,256457016.0,3234,3234.00,ECG:posterior/inferior infarct
Ischaemic heart diseases,271114019.0,175045009,271114019.0,7925,7925.00,Connection of mammary artery to coronary artery
Ischaemic heart diseases,256455012.0,164868007,256455012.0,3233,3233.00,ECG: antero-septal infarct.
Ischaemic heart diseases,262247015.0,168939002,2666780014.0,5543,5543.00,Coronary arteriograph.abnormal
Ischaemic heart diseases,89711000006118.0,11101003,19234014.0,7928,7928.00,Transluminal balloon angioplasty of coronary artery
Ischaemic heart diseases,271129017.0,232717009,348640013.0,7926,7926.00,Connection of other thoracic artery to coronary artery
Ischaemic heart diseases,262243016.0,168935008,262243016.0,5533,5533.00,Angiocardiography abnormal
Ischaemic heart diseases,2115181000000110.0,810681000000101,2115181000000110.0,G39,G39..00,Coronary microvascular disease
Ischaemic heart diseases,496991000006111.0,72092001,119795011.0,G342,G342.00,Atherosclerotic cardiovascular disease
Ischaemic heart diseases,119481012.0,71908006,119481012.0,G5740,G574000,Ventricular fibrillation
Ischaemic heart diseases,256460011.0,164865005,256452010.0,323Z,323Z.00,ECG: myocardial infarct NOS
Ischaemic heart diseases,299742017.0,194821006,299742017.0,G312,G312.00,Coronary thrombosis not resulting in myocardial infarction
Ischaemic heart diseases,394286010.0,265481001,394286010.0,79250,7925000,Double anastomosis of mammary arteries to coronary arteries
Ischaemic heart diseases,7845011.0,4557003,7845011.0,G3111,G311100,Unstable angina
Ischaemic heart diseases,451132018.0,399261000,1767181012.0,ZV45K,ZV45K00,[V]Presence of coronary artery bypass graft
Ischaemic heart diseases,627951000006112.0,232720001,348649014.0,79260,7926000,Double anastom thoracic arteries to coronary arteries NEC
Ischaemic heart diseases,212061000006119.0,311792005,455418016.0,G380,G380.00,Postoperative transmural myocardial infarction anterior wall
Ischaemic heart diseases,456190010.0,1012701000000104,2574481000000119.0,44h3,44h3.00,Blood bicarbonate level
Ischaemic heart diseases,258968018.0,166663004,258968018.0,44H3,44H3.00,Cardiac enzymes abnormal
Ischaemic heart diseases,354901000000117.0,232726007,354901000000117.0,79296,7929600,Percutaneous transluminal atherectomy of coronary artery
Ischaemic heart diseases,98087016.0,59021001,98087016.0,G330,G330.00,Angina decubitus
Ischaemic heart diseases,299808017.0,194856005,299808017.0,G35,G35..00,Subsequent myocardial infarction
Ischaemic heart diseases,455422014.0,311796008,455422014.0,G384,G384.00,Postoperative subendocardial myocardial infarction
Ischaemic heart diseases,39773018.0,23687008,39773018.0,G332,G332.00,Coronary artery spasm
Ischaemic heart diseases,299776014.0,413838009,2534672016.0,G34,G34..00,Other chronic ischaemic heart disease
Ischaemic heart diseases,459487012.0,315025001,459487012.0,G3113,G311300,Refractory angina
Ischaemic heart diseases,89332015.0,443502000,2842265012.0,G3-2,G3...12,Atherosclerotic heart disease
Ischaemic heart diseases,458354017.0,1003361000000108,2573331000000110.0,44MH,44MH.00,Plasma troponin T level
Ischaemic heart diseases,1489354011.0,395699007,1489354011.0,8F93,8F93.00,Cardiac rehabilitation - phase 4
Ischaemic heart diseases,1232666014.0,65340007,1232666014.0,G341-1,G341.11,Cardiac aneurysm
Ischaemic heart diseases,350354017.0,233823002,350354017.0,G344,G344.00,Silent myocardial ischaemia
Ischaemic heart diseases,484402013.0,29843007,484402013.0,79290,7929000,Percutaneous transluminal laser coronary angioplasty
Ischaemic heart diseases,813961000006116.0,194862000,299816014.0,G360,G360.00,Haemopericardium/current comp folow acut myocard infarct
Ischaemic heart diseases,1547671000006119.0,429639007,2694928017.0,793G3,793G300,Percutaneous cor balloon angiop 3 more stents cor art NEC
Ischaemic heart diseases,2675882017.0,426674009,2675882017.0,7A564,7A56400,Percutaneous transluminal balloon angioplasty of artery
Ischaemic heart diseases,238641000006117.0,68466008,1233048011.0,79280,7928000,Percut transluminal balloon angioplasty one coronary artery
Ischaemic heart diseases,494261017.0,4557003,494261017.0,G3114,G311400,Worsening angina
Ischaemic heart diseases,7847015.0,4557003,7847015.0,G311-1,G311.11,Crescendo angina
Ischaemic heart diseases,7844010.0,4557003,494262012.0,G311,G311.00,Preinfarction syndrome
Ischaemic heart diseases,299871010.0,56265001,93561011.0,G5,G5...00,Other forms of heart disease
Ischaemic heart diseases,256510015.0,24607002,41258019.0,32BZ,32BZ.00,ECG: Q wave NOS
Ischaemic heart diseases,72571000006115.0,4557003,7845011.0,G311-3,G311.13,Unstable angina
Ischaemic heart diseases,453269016.0,105501005,169590017.0,ZV45L,ZV45L00,[V]Status following coronary angioplasty NOS
