Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Malignant neoplasms,1.1989701000006112e+16,363346000,829211000006116.0,^ESCT1198970,,Human immunodeficiency virus with secondary cancers
Malignant neoplasms,825771000006119.0,420524008,2617386013.0,A7895,A789500,HIV disease resulting in Kaposi's sarcoma
Malignant neoplasms,1814931000006110.0,420524008,2614767011.0,A7895-1,A789511,HIV disease resulting in Kaposi sarcoma
Malignant neoplasms,879691000006112.0,363375006,879691000006112.0,B01-99,B01..99,Tongue carcinoma
Malignant neoplasms,1.1925691000006116e+16,363348004,724921000006119.0,^ESCT1192569,,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,1.271908100000611e+16,534791000000107,1193831000000115.0,^ESCT1271908,,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
Malignant neoplasms,1.1925701000006116e+16,363348004,725001000006112.0,^ESCT1192570,,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,1.1925531000006118e+16,363375006,720321000006110.0,^ESCT1192553,,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,406052010.0,271323007,406052010.0,B0,B0...00,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,380095017.0,255069008,380095017.0,B0-1,B0...11,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,724891000006113.0,363348004,482495016.0,B00,B00..00,Malignant neoplasm of lip
Malignant neoplasms,403771011.0,269515006,403771011.0,B00-1,B00..11,Carcinoma of lip
Malignant neoplasms,1228504019.0,363372009,1228504019.0,B000,B000.00,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,720801000006112.0,421249001,2618242015.0,B0000,B000000,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,288350019.0,187601000,288350019.0,B0001,B000100,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,288351015.0,363372009,482541011.0,B000z,B000z00,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,724421000006114.0,363373004,1228505018.0,B001,B001.00,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,288354011.0,187604008,288354011.0,B0010,B001000,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,1228506017.0,363373004,1228506017.0,B0011,B001100,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,288355012.0,363373004,482542016.0,B001z,B001z00,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,288363013.0,187606005,288363013.0,B002,B002.00,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,288372017.0,187608006,288372017.0,B0021,B002100,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,288364019.0,187606005,288364019.0,B0022,B002200,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,288362015.0,187606005,288362015.0,B0023,B002300,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,288377011.0,187606005,288356013.0,B002z,B002z00,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,406399011.0,271568003,406399011.0,B003,B003.00,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,288380012.0,187613005,288380012.0,B0030,B003000,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,288382016.0,187614004,288382016.0,B0031,B003100,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,724401000006116.0,271568003,406400016.0,B0032,B003200,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,724411000006118.0,271568003,406398015.0,B0033,B003300,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,288387010.0,271568003,406398015.0,B003z,B003z00,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,288388017.0,187622006,288402019.0,B004,B004.00,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,724901000006112.0,187622006,288392012.0,B0040,B004000,"Malignant neoplasm of lip unspecified, buccal aspect"
Malignant neoplasms,288391017.0,187622006,288392012.0,B0042,B004200,"Malignant neoplasm of lip unspecified, mucosa"
Malignant neoplasms,288393019.0,187622006,288393019.0,B0043,B004300,"Malignant neoplasm of lip, oral aspect"
Malignant neoplasms,726351000006116.0,363374005,482544015.0,B005,B005.00,Malignant neoplasm of commissure of lip
Malignant neoplasms,453301018.0,363348004,482495016.0,B007,B007.00,"Malignant neoplasm of lip, unspecified"
Malignant neoplasms,288408015.0,363348004,482495016.0,B00z0,B00z000,"Malignant neoplasm of lip, unspecified, external"
Malignant neoplasms,288409011.0,275399006,411376018.0,B00z1,B00z100,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,288410018.0,421249001,2618242015.0,B00zz,B00zz00,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms,721311000006114.0,363375006,482546018.0,B01,B01..00,Malignant neoplasm of tongue
Malignant neoplasms,727381000006110.0,363376007,482549013.0,B010,B010.00,Malignant neoplasm of base of tongue
Malignant neoplasms,1228509012.0,363376007,1228509012.0,B010-1,B010.11,Malignant neoplasm of posterior third of tongue
Malignant neoplasms,288411019.0,187631006,288411019.0,B0100,B010000,Malignant neoplasm of base of tongue dorsal surface
Malignant neoplasms,288412014.0,363376007,482548017.0,B010z,B010z00,Malignant neoplasm of fixed part of tongue NOS
Malignant neoplasms,155211011.0,187633009,288413016.0,B011,B011.00,Malignant neoplasm of dorsal surface of tongue
Malignant neoplasms,288417015.0,187635002,288417015.0,B0111,B011100,Malignant neoplasm of midline of tongue
Malignant neoplasms,288418013.0,187633009,288413016.0,B011z,B011z00,Malignant neoplasm of dorsum of tongue NOS
Malignant neoplasms,288419017.0,187637005,288419017.0,B012,B012.00,"Malignant neoplasm of tongue, tip and lateral border"
Malignant neoplasms,155669014.0,94134006,155669014.0,B013,B013.00,Malignant neoplasm of ventral surface of tongue
Malignant neoplasms,288423013.0,187640005,288423013.0,B0130,B013000,Malignant neoplasm of anterior 2/3 of tongue ventral surface
Malignant neoplasms,288427014.0,187641009,288427014.0,B0131,B013100,Malignant neoplasm of frenulum linguae
Malignant neoplasms,288429012.0,1090271000000101,2731401000000113.0,B013z,B013z00,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,288430019.0,363360003,482519011.0,B014,B014.00,Malignant neoplasm of anterior 2/3 of tongue unspecified
Malignant neoplasms,288433017.0,187644001,288433017.0,B015,B015.00,"Malignant neoplasm of tongue, junctional zone"
Malignant neoplasms,724881000006110.0,363377003,482550013.0,B016,B016.00,Malignant neoplasm of lingual tonsil
Malignant neoplasms,288434011.0,363375006,482546018.0,B01y,B01y.00,Malignant neoplasm of other sites of tongue
Malignant neoplasms,288435012.0,363375006,482546018.0,B01z,B01z.00,Malignant neoplasm of tongue NOS
Malignant neoplasms,1228510019.0,363378008,1228510019.0,B02,B02..00,Malignant neoplasm of major salivary glands
Malignant neoplasms,723501000006117.0,363379000,482554016.0,B020,B020.00,Malignant neoplasm of parotid gland
Malignant neoplasms,1228513017.0,363380002,1228513017.0,B021,B021.00,Malignant neoplasm of submandibular gland
Malignant neoplasms,721881000006113.0,363381003,482558018.0,B022,B022.00,Malignant neoplasm of sublingual gland
Malignant neoplasms,288437016.0,363378008,482552017.0,B02y,B02y.00,Malignant neoplasm of other major salivary glands
Malignant neoplasms,288438014.0,363378008,482553010.0,B02z,B02z.00,Malignant neoplasm of major salivary gland NOS
Malignant neoplasms,725861000006118.0,363382005,482560016.0,B03,B03..00,Malignant neoplasm of gum
Malignant neoplasms,720761000006115.0,363383000,482562012.0,B030,B030.00,Malignant neoplasm of upper gum
