Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Meniere disease,2981261000006116.0,29904009,50047017.0,^ESCTLE298126,,Lermoyez's syndrome
Meniere disease,1.192513100000611e+16,13445001,710891000006111.0,^ESCT1192513,,Unspecified Meniere's disease
Meniere disease,710871000006110.0,13445001,475303017.0,F560,F560.00,Meniere's disease
Meniere disease,17117015.0,9794007,17117015.0,F560-1,F560.11,Endolymphatic hydrops
Meniere disease,50047017.0,29904009,2842581018.0,F560-2,F560.12,Lermoyez's syndrome
Meniere disease,299159019.0,13445001,2920410013.0,F5600,F560000,Unspecified Meniere's disease
Meniere disease,299160012.0,194348002,299160012.0,F5601,F560100,Active cochleovestibular Meniere's disease
Meniere disease,299161011.0,194349005,299161011.0,F5602,F560200,Active cochlear Meniere's disease
Meniere disease,299162016.0,194350005,299162016.0,F5603,F560300,Active vestibular Meniere's disease
Meniere disease,299163014.0,194351009,299163014.0,F5604,F560400,Inactive Meniere's disease
Meniere disease,299164015.0,13445001,178783019.0,F560z,F560z00,Meniere's disease NOS
