Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Migraine,2570161000006115.0,4473006,7596016.0,^ESCTCL257016,,Classical migraine
Migraine,2159945013.0,408381007,2159945013.0,8B6N,8B6N.00,Migraine prophylaxis
Migraine,63055014.0,37796009,63055014.0,F26,F26..00,Migraine
Migraine,7596016.0,230462002,345348012.0,F260,F260.00,Classical migraine
Migraine,7595017.0,4473006,7595017.0,F260-1,F260.11,Migraine with aura
Migraine,93295014.0,56097005,93295014.0,F261,F261.00,Common migraine
Migraine,93294013.0,56097005,93294013.0,F261-1,F261.11,Migraine without aura
Migraine,93296010.0,56097005,93296010.0,F2610,F261000,Atypical migraine
Migraine,297336013.0,56097005,93295014.0,F261z,F261z00,Common migraine NOS
Migraine,297337016.0,193030005,297337016.0,F262,F262.00,Migraine variants
Migraine,126030010.0,75879005,126030010.0,F2622,F262200,Abdominal migraine
Migraine,138248010.0,83351003,138248010.0,F2623,F262300,Basilar migraine
Migraine,158460019.0,95655001,158460019.0,F2624,F262400,Ophthalmic migraine
Migraine,1746951000000114.0,781381000000100,1746951000000114.0,F2628,F262800,Migraine induced by oestrogen contraceptive
Migraine,297351016.0,193030005,297337016.0,F262z,F262z00,Migraine variant NOS
Migraine,297352011.0,37796009,63055014.0,F26y,F26y.00,Other forms of migraine
Migraine,98501012.0,59292006,98501012.0,F26y0,F26y000,Hemiplegic migraine
Migraine,82623012.0,49605003,82623012.0,F26y1,F26y100,Ophthalmoplegic migraine
Migraine,700211000006115.0,49605003,82623012.0,F26y1-1,F26y111,Moebius' ophthalmoplegic migraine
Migraine,345355014.0,230467008,345355014.0,F26y2,F26y200,Status migrainosus
Migraine,297354012.0,193039006,297354012.0,F26y3,F26y300,Complicated migraine
Migraine,297355013.0,37796009,63055014.0,F26yz,F26yz00,Other forms of migraine NOS
Migraine,297356014.0,37796009,63055014.0,F26z,F26z.00,Migraine NOS
Migraine,299338017.0,37796009,63055014.0,Fyu53,Fyu5300,[X]Other migraine
Migraine,221281000000113.0,23186000,38943013.0,K584-1,K584.11,Migraine - menstrual
