Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Mood disorders,423041000006119.0,231485007,346956014.0,Eu204,Eu20400,[X]Post-schizophrenic depression
Mood disorders,851691000006114.0,851691000006105,851691000006114.0,EMISQHY1,,Hypomanic
Mood disorders,882321000006119.0,268619003,882321000006119.0,E110-99,E110.99,Mania/hypomania
Mood disorders,882311000006110.0,13746004,882311000006110.0,E11-99,E11..99,Manic-depressive psychoses
Mood disorders,2157096015.0,405273008,2157096015.0,1S42,1S42.00,Manic mood
Mood disorders,492761000000114.0,285491000000101,492761000000114.0,212V,212V.00,Bipolar affective disorder resolved
Mood disorders,513871000006118.0,13746004,23447014.0,E11-1,E11..11,Bipolar psychoses
Mood disorders,223601000000119.0,231494001,346966018.0,E11-3,E11..13,Manic psychoses
Mood disorders,789221000006116.0,231496004,346969013.0,E110-1,E110.11,Hypomanic psychoses
Mood disorders,513801000006112.0,191618007,294846014.0,E114,E114.00,"Bipolar affective disorder, currently manic"
Mood disorders,294847017.0,191618007,294847017.0,E114-1,E114.11,Manic-depressive - now manic
Mood disorders,294848010.0,191618007,294846014.0,E1140,E114000,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders,294849019.0,191620005,294849019.0,E1141,E114100,"Bipolar affective disorder, currently manic, mild"
Mood disorders,294850019.0,191621009,294850019.0,E1142,E114200,"Bipolar affective disorder, currently manic, moderate"
Mood disorders,513741000006119.0,63249007,105141010.0,E1145,E114500,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders,513811000006110.0,191625000,294857016.0,E1146,E114600,"Bipolar affective disorder, currently manic, full remission"
Mood disorders,294858014.0,191618007,294846014.0,E114z,E114z00,"Bipolar affective disorder, currently manic, NOS"
Mood disorders,513751000006117.0,191627008,294859018.0,E115,E115.00,"Bipolar affective disorder, currently depressed"
Mood disorders,294860011.0,191627008,294860011.0,E115-1,E115.11,Manic-depressive - now depressed
Mood disorders,294861010.0,191627008,294859018.0,E1150,E115000,"Bipolar affective disorder, currently depressed, unspecified"
Mood disorders,294862015.0,191629006,294862015.0,E1151,E115100,"Bipolar affective disorder, currently depressed, mild"
Mood disorders,294863013.0,191630001,294863013.0,E1152,E115200,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders,513711000006118.0,49512000,82468013.0,E1155,E115500,"Bipolar affect disord, now depressed, part/unspec remission"
Mood disorders,513861000006113.0,191634005,294867014.0,E1156,E115600,"Bipolar affective disorder, now depressed, in full remission"
