Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Neurotic, stress-related and somatoform disorders",402504012.0,268957000,402504012.0,285-1,285..11,"Psychotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",1.1914901000006114e+16,78667006,376751000006117.0,^ESCT1191490,,[X]Depressive personality disorder
"Neurotic, stress-related and somatoform disorders",488211000006112.0,231504006,346979010.0,E2003,E200300,Anxiety with depression
"Neurotic, stress-related and somatoform disorders",379431000006113.0,78667006,130532011.0,Eu341,Eu34100,[X]Dysthymia
"Neurotic, stress-related and somatoform disorders",376741000006119.0,78667006,130534012.0,Eu341-1,Eu34111,[X]Depressive neurosis
"Neurotic, stress-related and somatoform disorders",399961000006118.0,78667006,130534012.0,Eu341-3,Eu34113,[X]Neurotic depression
"Neurotic, stress-related and somatoform disorders",419841000006116.0,231504006,346979010.0,Eu341-4,Eu34114,[X]Persistant anxiety depression
"Neurotic, stress-related and somatoform disorders",398561000006117.0,231504006,346979010.0,Eu412,Eu41200,[X]Mixed anxiety and depressive disorder
"Neurotic, stress-related and somatoform disorders",398351000006110.0,231504006,346979010.0,Eu412-1,Eu41211,[X]Mild anxiety depression
"Neurotic, stress-related and somatoform disorders",882381000006115.0,191722009,882381000006115.0,E2021-99,E202199,Agoraphobia
"Neurotic, stress-related and somatoform disorders",988881000006118.0,191723004,988881000006118.0,E2022-99,E202299,Agoraphobia
"Neurotic, stress-related and somatoform disorders",1808521000006110.0,56576003,94086016.0,EMISNQPA155,,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1809331000006112.8,1809331000006109,1809331000006112.8,EMISNQSY10,,Symptoms of agoraphobia
"Neurotic, stress-related and somatoform disorders",1.1920891000006112e+16,386810004,420631000006114.0,^ESCT1192089,,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",853241000006119.0,853241000006103,853241000006119.0,EGTON122,,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",1.2731491000006112e+16,563201000000101,1252611000000113.0,^ESCT1273149,,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",2665410014.0,1402001,2665410014.0,1B1H-1,1B1H.11,Fear
"Neurotic, stress-related and somatoform disorders",370038014.0,247845000,370038014.0,1Bb,1Bb..00,Specific fear
"Neurotic, stress-related and somatoform disorders",2549835014.0,417620007,2549835014.0,225K,225K.00,O/E - fearful mood
"Neurotic, stress-related and somatoform disorders",402503018.0,268957000,402503018.0,285,285..00,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",402505013.0,268958005,402505013.0,286,286..00,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",675881000006115.0,111475002,1219652011.0,E20,E20..00,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",488201000006114.0,197480006,303689015.0,E200,E200.00,Anxiety states
"Neurotic, stress-related and somatoform disorders",294953016.0,198288003,304838011.0,E2000,E200000,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",1210253015.0,371631005,1210253015.0,E2001,E200100,Panic disorder
"Neurotic, stress-related and somatoform disorders",481154010.0,21897009,481154010.0,E2002,E200200,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",294960010.0,191708009,294960010.0,E2004,E200400,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",294961014.0,191709001,294961014.0,E2005,E200500,Recurrent anxiety
"Neurotic, stress-related and somatoform disorders",294963012.0,198288003,304838011.0,E200z,E200z00,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",56251019.0,33693007,56251019.0,E201B,E201B00,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",223631000000113.0,386810004,1491809016.0,E202,E202.00,Phobic disorders
"Neurotic, stress-related and somatoform disorders",138401000006119.0,25501002,42759014.0,E202-1,E202.11,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",223641000000116.0,386810004,1491809016.0,E202-2,E202.12,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",294991016.0,386808001,1480928018.0,E2020,E202000,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",294994012.0,191724005,294994012.0,E2023,E202300,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",294995013.0,191725006,294995013.0,E2024,E202400,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",294996014.0,191726007,294996014.0,E2025,E202500,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",97986013.0,58963008,97986013.0,E2026,E202600,Acrophobia
"Neurotic, stress-related and somatoform disorders",1231321013.0,54307006,1231321013.0,E2027,E202700,Animal phobia
"Neurotic, stress-related and somatoform disorders",33475016.0,19887002,33475016.0,E2028,E202800,Claustrophobia
"Neurotic, stress-related and somatoform disorders",294998010.0,191728008,294998010.0,E2029,E202900,Fear of crowds
"Neurotic, stress-related and somatoform disorders",370048011.0,247853008,370048011.0,E202A,E202A00,Fear of flying
"Neurotic, stress-related and somatoform disorders",485870016.0,34563004,485870016.0,E202B,E202B00,Cancer phobia
"Neurotic, stress-related and somatoform disorders",65032014.0,38617005,65032014.0,E202C,E202C00,Dental phobia
"Neurotic, stress-related and somatoform disorders",166341019.0,102912007,166341019.0,E202D,E202D00,Fear of death
"Neurotic, stress-related and somatoform disorders",295004011.0,191733007,295004011.0,E202E,E202E00,Fear of pregnancy
"Neurotic, stress-related and somatoform disorders",401780016.0,386810004,1480929014.0,E202z,E202z00,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",295026012.0,111475002,178715018.0,E20y,E20y.00,Other neurotic disorders
"Neurotic, stress-related and somatoform disorders",295029017.0,191744004,295029017.0,E20y1,E20y100,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",295031014.0,111475002,178715018.0,E20y2,E20y200,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",295032019.0,191746002,295032019.0,E20y3,E20y300,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",295033012.0,111475002,178715018.0,E20yz,E20yz00,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",401783019.0,111475002,1219652011.0,E20z,E20z.00,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",296224013.0,386810004,1491809016.0,Eu40,Eu40.00,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",362871000006111.0,70691001,117416017.0,Eu400,Eu40000,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",418051000006118.0,191722009,294992011.0,Eu400-2,Eu40012,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",427071000006115.0,25501002,42759014.0,Eu401,Eu40100,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",427061000006110.0,25501002,42759014.0,Eu401-2,Eu40112,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",427231000006111.0,54587008,90725015.0,Eu402,Eu40200,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",362181000006117.0,54587008,90725015.0,Eu402-1,Eu40211,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",363281000006117.0,54307006,1231321013.0,Eu402-2,Eu40212,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",371071000006117.0,54587008,90725015.0,Eu402-3,Eu40213,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",426871000006113.0,386810004,1491809016.0,Eu402-4,Eu40214,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",980191000006111.0,231501003,346974017.0,Eu403,Eu40300,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",296236019.0,386810004,1491809016.0,Eu40y,Eu40y00,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",296237011.0,386810004,1480929014.0,Eu40z,Eu40z00,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",420631000006114.0,386810004,1480929014.0,Eu40z-1,Eu40z11,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",420671000006112.0,386810004,1480929014.0,Eu40z-2,Eu40z12,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",296238018.0,197480006,303689015.0,Eu41,Eu41.00,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",296239014.0,371631005,1210253015.0,Eu410,Eu41000,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",418061000006116.0,371631005,1210253015.0,Eu410-2,Eu41012,[X]Panic state
"Neurotic, stress-related and somatoform disorders",388071000006116.0,21897009,481154010.0,Eu411,Eu41100,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",363651000006111.0,207363009,317740010.0,Eu411-1,Eu41111,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",363671000006118.0,197480006,303689015.0,Eu411-2,Eu41112,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",363681000006115.0,198288003,304838011.0,Eu411-3,Eu41113,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",296245018.0,231504006,346979010.0,Eu413,Eu41300,[X]Other mixed anxiety disorders
"Neurotic, stress-related and somatoform disorders",401881014.0,197480006,303689015.0,Eu41y,Eu41y00,[X]Other specified anxiety disorders
"Neurotic, stress-related and somatoform disorders",363641000006114.0,197480006,303689015.0,Eu41y-1,Eu41y11,[X]Anxiety hysteria
"Neurotic, stress-related and somatoform disorders",296249012.0,197480006,303689015.0,Eu41z,Eu41z00,"[X]Anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",363661000006113.0,197480006,303689015.0,Eu41z-1,Eu41z11,[X]Anxiety NOS
