Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Osteoarthritis,5140621000006112.0,239874001,359422017.0,^ESCTOA514062,,OA - Osteoarthritis of ankle
Osteoarthritis,889931000006113.0,396275006,889931000006113.0,N05z7-99,N05z799,Osteoarthritis - ankle/foot
Osteoarthritis,889881000006119.0,396275006,889881000006119.0,N05z2-99,N05z299,Osteoarthritis - elbow joint
Osteoarthritis,889901000006117.0,396275006,889901000006117.0,N05z4-99,N05z499,Osteoarthritis - hand joint
Osteoarthritis,889911000006119.0,396275006,889911000006119.0,N05z5-99,N05z599,Osteoarthritis - hip joint
Osteoarthritis,889921000006110.0,637091000000105,889921000006110.0,N05z6-99,N05z699,Osteoarthritis - knee joint
Osteoarthritis,889941000006115.0,666451000000100,889941000006115.0,N05z8-99,N05z899,Osteoarthritis - other joint
Osteoarthritis,889891000006116.0,396275006,889891000006116.0,N05z3-99,N05z399,Osteoarthritis - wrist joint
Osteoarthritis,889861000006112.0,201819000,889861000006112.0,N0502-99,N050299,Osteoarthritis -multiple joint
Osteoarthritis,889871000006117.0,666441000000103,889871000006117.0,N05z1-99,N05z199,Osteoarthritis -shoulder joint
Osteoarthritis,5140431000006112.0,239868001,359414012.0,^ESCTOS514043,,Osteoarthritis of finger joint
Osteoarthritis,359420013.0,239873007,1954201000006110.0,ESCTOS1,,Osteoarthritis of knee
Osteoarthritis,905311000006112.0,905311000006108,905311000006112.0,HNG0005,,[RFC] Osteoarthritis
Osteoarthritis,909181000006117.0,909181000006101,909181000006117.0,HNGP004,,[RFC] Osteoarthritis
Osteoarthritis,309896011.0,201829007,309881012.0,N0516,N051600,"Localised, primary osteoarthritis of the lower leg"
Osteoarthritis,1.2732531000006116e+16,576511000000100,1280421000000111.0,^ESCT1273253,,"Osteoarthritis NOS, of elbow"
Osteoarthritis,1.2719521000006116e+16,587231000000100,1302611000000114.0,^ESCT1271952,,"Osteoarthritis NOS, of hip"
Osteoarthritis,1.272501100000611e+16,667531000000106,1464991000000114.0,^ESCT1272501,,"Osteoarthritis NOS, of knee"
Osteoarthritis,1.272485100000612e+16,666441000000103,1462811000000116.0,^ESCT1272485,,"Osteoarthritis NOS, of shoulder region"
