Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Other reintal disorders (Macular degeneration),369092019.0,247153005,369092019.0,2BBH,2BBH.00,Retinal drusen
Other reintal disorders (Macular degeneration),1231068014.0,52002008,1231068014.0,F4242,F424200,Retinal pigment epithelium serous detachment
Other reintal disorders (Macular degeneration),1216693019.0,50165004,1216693019.0,F4243,F424300,Retinal pigment epithelium haemorrhagic detachment
Other reintal disorders (Macular degeneration),347719019.0,232067008,347719019.0,F4244,F424400,Retinal pigment epithelial detachment
Other reintal disorders (Macular degeneration),399433012.0,267611002,399433012.0,F425,F425.00,Degeneration of macula and posterior pole
Other reintal disorders (Macular degeneration),399676018.0,267718000,399676018.0,F425-1,F425.11,Senile macular degeneration
Other reintal disorders (Macular degeneration),78571000006118.0,267718000,399670012.0,F4250,F425000,Unspecified senile macular degeneration
Other reintal disorders (Macular degeneration),2537365016.0,414875008,2537365016.0,F4251,F425100,Dry senile macular degeneration
Other reintal disorders (Macular degeneration),2538088014.0,414173003,2538088014.0,F4252,F425200,Wet senile macular degeneration
Other reintal disorders (Macular degeneration),753461000006116.0,414173003,2538090010.0,F4252-1,F425211,Kuhnt - Junius degeneration
Other reintal disorders (Macular degeneration),31523017.0,18695008,31523017.0,F4257,F425700,Drusen
Other reintal disorders (Macular degeneration),297816017.0,267611002,399433012.0,F425z,F425z00,Degeneration of macula or posterior pole NOS
