Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Polyneuropathies and other disorders of the peripheral nervous system,297542011.0,193178008,297542011.0,F3710,F371000,Polyneuropathy in disseminated lupus erythematosus
Polyneuropathies and other disorders of the peripheral nervous system,84531000006118.0,420436000,2618201018.0,C109A-2,C109A12,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84901000006117.0,420436000,3697667019.0,C109A-1,C109A11,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84971000006111.0,713706002,3297353013.0,C109B-1,C109B11,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84941000006115.0,314904008,459312014.0,C109H-1,C109H11,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,84571000006115.0,314904008,459313016.0,C109H-2,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,914221000006113.0,420436000,2618201018.0,C10FA,C10FA00,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914231000006111.0,420436000,3697667019.0,C10FA-1,C10FA11,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914241000006118.0,713706002,3297353013.0,C10FB,C10FB00,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914251000006116.0,713706002,3297353013.0,C10FB-1,C10FB11,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,459313016.0,314904008,459313016.0,C10FH,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,881501000006110.0,230572002,881501000006110.0,C106-99,C106.99,Diabetes + neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,4808921000006113.0,201724008,309740011.0,^ESCTDI480892,,Diabetic neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,913981000006115.0,201724008,309740011.0,C10EJ-2,C10EJ12,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,913771000006115.0,230577008,345492010.0,C10EB-2,C10EB12,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84351000006117.0,420918009,2618199015.0,C108B-2,C108B12,Type 1 diabetes mellitus with mononeuropathy
