Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Psoriasis,905681000006112.0,905681000006108,905681000006112.0,HNG0042,,[RFC] Psoriasis
Psoriasis,1583831000006118.0,1583831000006102,1583831000006118.0,EMISNQCH31,,Chronic large plaque psoriasis
Psoriasis,357612014.0,238600001,1876481000006119.2,ESCTFL1,,Flexural psoriasis
Psoriasis,308725015.0,9014002,15886015.0,M16,M16..00,Psoriasis and similar disorders
Psoriasis,308731017.0,9014002,15886015.0,M161,M161.00,Other psoriasis
Psoriasis,308732012.0,9014002,15886015.0,M1610,M161000,Psoriasis unspecified
Psoriasis,308733019.0,200962007,308733019.0,M1611,M161100,Psoriasis annularis
Psoriasis,308734013.0,200963002,308734013.0,M1612,M161200,Psoriasis circinata
Psoriasis,308735014.0,200964008,308735014.0,M1613,M161300,Psoriasis diffusa
Psoriasis,198791000006112.0,200965009,308736010.0,M1614,M161400,Psoriasis discoidea
Psoriasis,308739015.0,200966005,308739015.0,M1615,M161500,Psoriasis geographica
Psoriasis,61797015.0,37042000,61797015.0,M1616,M161600,Guttate psoriasis
Psoriasis,308740018.0,200967001,308740018.0,M1617,M161700,Psoriasis gyrata
Psoriasis,308741019.0,200968006,308741019.0,M1618,M161800,Psoriasis inveterata
Psoriasis,198841000006110.0,200969003,308742014.0,M1619,M161900,Psoriasis ostracea
Psoriasis,308744010.0,200970002,308744010.0,M161A,M161A00,Psoriasis palmaris
Psoriasis,308746012.0,200972005,308746012.0,M161C,M161C00,Psoriasis punctata
Psoriasis,308747015.0,200973000,308747015.0,M161D,M161D00,Pustular psoriasis
Psoriasis,308749017.0,200974006,308749017.0,M161E,M161E00,Psoriasis universalis
Psoriasis,308750017.0,200975007,308750017.0,M161F,M161F00,Psoriasis vulgaris
Psoriasis,1629311000006117.0,402307000,1781467015.0,M161F-1,M161F11,Chronic large plaque psoriasis
Psoriasis,308752013.0,200977004,308752013.0,M161H,M161H00,Erythrodermic psoriasis
Psoriasis,1887571000006111.2,238600001,357612014.0,M161J,M161J00,Flexural psoriasis
Psoriasis,308753015.0,9014002,15886015.0,M161z,M161z00,Psoriasis NOS
Psoriasis,308775018.0,399937000,1773474010.0,M16y,M16y.00,Other psoriasis and similar disorders
Psoriasis,357623013.0,238608008,357623013.0,M16y0,M16y000,Scalp psoriasis
Psoriasis,308776017.0,9014002,15886015.0,M16z,M16z.00,Psoriasis and similar disorders NOS
Psoriasis,309331014.0,9014002,15886015.0,Myu30,Myu3000,[X]Other psoriasis
