Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Retinal detachments and breaks,503951016.0,78917001,503951016.0,7271,7271.00,Photocoagulation of retina for detachment
Retinal detachments and breaks,1221344016.0,10006000,1221344016.0,72710,7271000,Xenon photocoagulation of retina for detachment
Retinal detachments and breaks,1235016010.0,85231002,1235016010.0,72711,7271100,Laser photocoagulation of retina for detachment
Retinal detachments and breaks,267137016.0,78917001,130949012.0,7271y,7271y00,Other specified photocoagulation of retina for detachment
Retinal detachments and breaks,267138014.0,78917001,130949012.0,7271z,7271z00,Photocoagulation of retina for detachment NOS
Retinal detachments and breaks,399429017.0,29555009,49448017.0,F41,F41..00,Retinal detachments and defects
Retinal detachments and breaks,170051000006112.0,95690009,158516016.0,F41-1,F41..11,Retinal tears
Retinal detachments and breaks,169841000006116.0,19620000,479741018.0,F410,F410.00,Retinal detachment with retinal defect
Retinal detachments and breaks,297722017.0,19620000,33037011.0,F4100,F410000,Unspecified retinal detachment with retinal defect
Retinal detachments and breaks,297723010.0,193319001,297723010.0,F4101,F410100,New partial retinal detachment with single defect
Retinal detachments and breaks,297724016.0,193320007,297724016.0,F4102,F410200,New partial retinal detachment with multiple defects
Retinal detachments and breaks,297725015.0,232004004,347636019.0,F4103,F410300,New partial retinal detachment with giant tear defect
Retinal detachments and breaks,297726019.0,193322004,297726019.0,F4104,F410400,New partial retinal detachment with retinal dialysis
Retinal detachments and breaks,297727011.0,193323009,297727011.0,F4105,F410500,Recent total retinal detachment
Retinal detachments and breaks,297728018.0,193324003,297728018.0,F4106,F410600,Recent subtotal retinal detachment
Retinal detachments and breaks,297729014.0,193325002,297729014.0,F4107,F410700,Old partial retinal detachment
Retinal detachments and breaks,297730016.0,193326001,297730016.0,F4108,F410800,Old total retinal detachment
Retinal detachments and breaks,297731017.0,193327005,297731017.0,F4109,F410900,Old subtotal retinal detachment
Retinal detachments and breaks,297732012.0,19620000,33037011.0,F410z,F410z00,Retinal detachment with defect NOS
Retinal detachments and breaks,297742014.0,193338005,297742014.0,F413,F413.00,Retinal defects without detachment
Retinal detachments and breaks,297744010.0,51226000,85346010.0,F4131,F413100,Retinal round hole without detachment
Retinal detachments and breaks,297745011.0,193341001,297745011.0,F4132,F413200,Horseshoe retinal tear without detachment
Retinal detachments and breaks,297746012.0,193342008,297746012.0,F4133,F413300,Multiple retinal defects without detachment
Retinal detachments and breaks,66667015.0,40024006,66667015.0,F4134,F413400,Retinal break
Retinal detachments and breaks,297749017.0,193338005,297742014.0,F413z,F413z00,Retinal defects without detachment NOS
Retinal detachments and breaks,297750017.0,42059000,70200018.0,F41y,F41y.00,Other forms of retinal detachment
Retinal detachments and breaks,1228202019.0,34711008,1228202019.0,F41y0,F41y000,Traction retinal detachment
Retinal detachments and breaks,297751018.0,42059000,70200018.0,F41yz,F41yz00,Other retinal detachments NOS
Retinal detachments and breaks,297752013.0,42059000,70200018.0,F41z,F41z.00,Retinal detachment NOS
Retinal detachments and breaks,299475014.0,42059000,70200018.0,FyuF4,FyuF400,[X]Other retinal detachments
