Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Rhinitis and Sinusitis,61668014.0,36971009,61668014.0,H01-1,H01..11,Sinusitis
Rhinitis and Sinusitis,66718013.0,40055000,66718013.0,H13,H13..00,Chronic sinusitis
Rhinitis and Sinusitis,1229598015.0,40055000,1229598015.0,H13-1,H13..11,Chronic rhinosinusitis
Rhinitis and Sinusitis,59944016.0,35923002,59944016.0,H130,H130.00,Chronic maxillary sinusitis
Rhinitis and Sinusitis,488111000006118.0,35923002,486320019.0,H130-1,H130.11,Antritis - chronic
Rhinitis and Sinusitis,146480018.0,88348008,146480018.0,H130-2,H130.12,Maxillary sinusitis
Rhinitis and Sinusitis,99894013.0,60130002,99894013.0,H131,H131.00,Chronic frontal sinusitis
Rhinitis and Sinusitis,130650014.0,78737005,130650014.0,H131-1,H131.11,Frontal sinusitis
Rhinitis and Sinusitis,121629017.0,73237007,121629017.0,H132,H132.00,Chronic ethmoidal sinusitis
Rhinitis and Sinusitis,65349012.0,38961000,65349012.0,H133,H133.00,Chronic sphenoidal sinusitis
Rhinitis and Sinusitis,301210011.0,195788001,301210011.0,H135,H135.00,Recurrent sinusitis
Rhinitis and Sinusitis,301211010.0,40055000,66718013.0,H13y,H13y.00,Other chronic sinusitis
Rhinitis and Sinusitis,147320013.0,88850006,147320013.0,H13y0,H13y000,Chronic pansinusitis
Rhinitis and Sinusitis,301212015.0,195790000,301212015.0,H13y1,H13y100,Pansinusitis
Rhinitis and Sinusitis,301213013.0,40055000,66718013.0,H13yz,H13yz00,Other chronic sinusitis NOS
Rhinitis and Sinusitis,301214019.0,40055000,66718013.0,H13z,H13z.00,Chronic sinusitis NOS
Rhinitis and Sinusitis,477701000006111.0,61582004,102311013.0,H17-2,H17..12,Allergic rhinosinusitis
Rhinitis and Sinusitis,301825016.0,40055000,66718013.0,Hyu22,Hyu2200,[X]Other chronic sinusitis
Rhinitis and Sinusitis,481105015.0,21719001,885121000006110.0,H170-99,H170.99,Hay fever
Rhinitis and Sinusitis,6298141000006118.0,367498001,2119211000000114.0,^ESCTHA629814,,Hay fever
Rhinitis and Sinusitis,933361000006117.0,61582004,933361000006117.0,H17-99,H17..99,Hay fever
Rhinitis and Sinusitis,492457012.0,367498001,1956781000006116.0,ESCTSE4,,Seasonal allergic rhinitis
Rhinitis and Sinusitis,142764012.0,86094006,142764012.0,H120,H120.00,Chronic rhinitis
Rhinitis and Sinusitis,301176016.0,195765002,301176016.0,H1200,H120000,Chronic simple rhinitis
Rhinitis and Sinusitis,396095011.0,266342009,396095011.0,H1201,H120100,Chronic catarrhal rhinitis
Rhinitis and Sinusitis,301181013.0,195768000,301181013.0,H1202,H120200,Chronic hypertrophic rhinitis
Rhinitis and Sinusitis,301182018.0,195769008,301182018.0,H1203,H120300,Chronic atrophic rhinitis
Rhinitis and Sinusitis,301183011.0,195770009,301183011.0,H1204,H120400,Chronic infective rhinitis
Rhinitis and Sinusitis,301184017.0,195771008,301184017.0,H1205,H120500,Chronic ulcerative rhinitis
Rhinitis and Sinusitis,301185016.0,195772001,301185016.0,H1206,H120600,Chronic membranous rhinitis
Rhinitis and Sinusitis,301186015.0,195773006,301186015.0,H1207,H120700,Chronic fibrinous rhinitis
Rhinitis and Sinusitis,301187012.0,86094006,142764012.0,H120z,H120z00,Chronic rhinitis NOS
Rhinitis and Sinusitis,102311013.0,61582004,102311013.0,H17,H17..00,Allergic rhinitis
Rhinitis and Sinusitis,224001000000114.0,446096008,2883237016.0,H17-1,H17..11,Perennial rhinitis
Rhinitis and Sinusitis,481104016.0,21719001,481104016.0,H170,H170.00,Allergic rhinitis due to pollens
Rhinitis and Sinusitis,817341000006110.0,21719001,481104016.0,H170-1,H170.11,Hay fever - pollens
Rhinitis and Sinusitis,36447011.0,21719001,36447011.0,H170-2,H170.12,Pollinosis
Rhinitis and Sinusitis,396097015.0,61582004,102311013.0,H171,H171.00,Allergic rhinitis due to other allergens
Rhinitis and Sinusitis,348103016.0,232346004,348103016.0,H171-1,H171.11,Cat allergy
Rhinitis and Sinusitis,348104010.0,232347008,348105011.0,H171-2,H171.12,Dander (animal) allergy
Rhinitis and Sinusitis,348106012.0,232348003,348106012.0,H171-3,H171.13,Feather allergy
Rhinitis and Sinusitis,348109017.0,21719001,36446019.0,H171-4,H171.14,Hay fever - other allergen
Rhinitis and Sinusitis,348107015.0,232349006,348107015.0,H171-5,H171.15,House dust allergy
Rhinitis and Sinusitis,348108013.0,232350006,348108013.0,H171-6,H171.16,House dust mite allergy
Rhinitis and Sinusitis,1495072016.0,717234006,3308773018.0,H1710,H171000,Allergy to animal
Rhinitis and Sinusitis,634501000000119.0,419271008,634501000000119.0,H1711,H171100,Dog allergy
Rhinitis and Sinusitis,396098013.0,61582004,499054013.0,H172,H172.00,Allergic rhinitis due to unspecified allergen
Rhinitis and Sinusitis,348110010.0,21719001,481105015.0,H172-1,H172.11,Hay fever - unspecified allergen
Rhinitis and Sinusitis,301268012.0,61582004,102311013.0,H17z,H17z.00,Allergic rhinitis NOS
Rhinitis and Sinusitis,14582019.0,8229003,14582019.0,H18,H18..00,Vasomotor rhinitis
Rhinitis and Sinusitis,301823011.0,367498001,492457012.0,Hyu20,Hyu2000,[X]Other seasonal allergic rhinitis
Rhinitis and Sinusitis,301824017.0,61582004,102311013.0,Hyu21,Hyu2100,[X]Other allergic rhinitis
