Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Schizophrenia,1974511000006112.8,1974511000006109,1974511000006112.8,EMISICD10|F2005,,"Paranoid schizophrenia, complete remission"
Schizophrenia,8232521000006118.0,755301000000102,1662001000000113.0,^ESCTPA823252,,Paranoid state in remission
Schizophrenia,882291000006111.0,191526005,882291000006111.0,E10-99,E10..99,Schizophrenic psychoses
Schizophrenia,882281000006113.0,191526005,882281000006113.0,E10-98,E10..98,Schizophrenic psychoses NOS
Schizophrenia,1.2759121000006116e+16,480111000000107,885271000000111.0,^ESCT1275912,,[X]Chronic hallucinatory psychosis
Schizophrenia,1.2759131000006116e+16,480111000000107,996461000000115.0,^ESCT1275913,,[X]Other nonorganic psychotic disorders
Schizophrenia,1.2480451000006112e+16,417601000000102,939641000000117.0,^ESCT1248045,,"[X]Schizophrenia, schizotypal and delusional disorders"
Schizophrenia,492821000000113.0,285521000000103,492821000000113.0,212W,212W.00,Schizophrenia resolved
Schizophrenia,492881000000114.0,285551000000108,492881000000114.0,212X,212X.00,Psychosis resolved
Schizophrenia,215691000006112.0,12200008,21006010.0,286-1,286..11,Poor insight into psychotic condition
Schizophrenia,294724012.0,191525009,294724012.0,E1,E1...00,Non-organic psychoses
Schizophrenia,294725013.0,191526005,294725013.0,E10,E10..00,Schizophrenic disorders
Schizophrenia,294727017.0,191527001,294727017.0,E100,E100.00,Simple schizophrenia
Schizophrenia,294726014.0,191527001,294726014.0,E100-1,E100.11,Schizophrenia simplex
Schizophrenia,294728010.0,58214004,96745016.0,E1000,E100000,Unspecified schizophrenia
Schizophrenia,28758018.0,16990005,28758018.0,E1001,E100100,Subchronic schizophrenia
Schizophrenia,1234861017.0,83746006,1234861017.0,E1002,E100200,Chronic schizophrenic
Schizophrenia,9225016.0,4926007,9225016.0,E1005,E100500,Schizophrenia in remission
Schizophrenia,294734015.0,191527001,294727017.0,E100z,E100z00,Simple schizophrenia NOS
Schizophrenia,819351000006115.0,35252006,2881679010.0,E101,E101.00,Hebephrenic schizophrenia
Schizophrenia,294735019.0,35252006,2881679010.0,E1010,E101000,Unspecified hebephrenic schizophrenia
Schizophrenia,294740010.0,31373002,3425623018.0,E1015,E101500,Hebephrenic schizophrenia in remission
Schizophrenia,294741014.0,35252006,2881679010.0,E101z,E101z00,Hebephrenic schizophrenia NOS
Schizophrenia,294742019.0,191542003,294742019.0,E102,E102.00,Catatonic schizophrenia
Schizophrenia,294744018.0,191542003,294742019.0,E1020,E102000,Unspecified catatonic schizophrenia
Schizophrenia,71539017.0,42868002,71539017.0,E1021,E102100,Subchronic catatonic schizophrenia
Schizophrenia,178723016.0,111483008,178723016.0,E1025,E102500,Catatonic schizophrenia in remission
Schizophrenia,294753013.0,191542003,294742019.0,E102z,E102z00,Catatonic schizophrenia NOS
Schizophrenia,107878010.0,64905009,107878010.0,E103,E103.00,Paranoid schizophrenia
Schizophrenia,294754019.0,64905009,107878010.0,E1030,E103000,Unspecified paranoid schizophrenia
Schizophrenia,132503015.0,79866005,132503015.0,E1031,E103100,Subchronic paranoid schizophrenia
Schizophrenia,52897013.0,31658008,52897013.0,E1032,E103200,Chronic paranoid schizophrenia
Schizophrenia,105029017.0,63181006,105029017.0,E1035,E103500,Paranoid schizophrenia in remission
Schizophrenia,294760019.0,64905009,107878010.0,E103z,E103z00,Paranoid schizophrenia NOS
Schizophrenia,294764011.0,191559008,294764011.0,E105,E105.00,Latent schizophrenia
Schizophrenia,294765012.0,191559008,294764011.0,E1050,E105000,Unspecified latent schizophrenia
Schizophrenia,294767016.0,191562006,294767016.0,E1052,E105200,Chronic latent schizophrenia
Schizophrenia,294770017.0,191565008,294770017.0,E1055,E105500,Latent schizophrenia in remission
Schizophrenia,294771018.0,191559008,294764011.0,E105z,E105z00,Latent schizophrenia NOS
Schizophrenia,43595011.0,26025008,43595011.0,E106,E106.00,Residual schizophrenia
Schizophrenia,155141000006116.0,191567000,294772013.0,E107,E107.00,Schizo-affective schizophrenia
Schizophrenia,294773015.0,191567000,294773015.0,E107-1,E107.11,Cyclic schizophrenia
Schizophrenia,78531000006116.0,191567000,294772013.0,E1070,E107000,Unspecified schizo-affective schizophrenia
Schizophrenia,123611000006110.0,191569002,294775010.0,E1071,E107100,Subchronic schizo-affective schizophrenia
Schizophrenia,556631000006116.0,191570001,294776011.0,E1072,E107200,Chronic schizo-affective schizophrenia
Schizophrenia,155151000006119.0,191574005,294780018.0,E1075,E107500,Schizo-affective schizophrenia in remission
Schizophrenia,155161000006117.0,191567000,294772013.0,E107z,E107z00,Schizo-affective schizophrenia NOS
Schizophrenia,401764014.0,58214004,96745016.0,E10y,E10y.00,Other schizophrenia
Schizophrenia,294788013.0,191577003,294788013.0,E10y-1,E10y.11,Cenesthopathic schizophrenia
Schizophrenia,1219653018.0,111484002,1219653018.0,E10y0,E10y000,Atypical schizophrenia
Schizophrenia,294787015.0,191577003,294787015.0,E10y1,E10y100,Coenesthopathic schizophrenia
Schizophrenia,294789017.0,58214004,96745016.0,E10yz,E10yz00,Other schizophrenia NOS
Schizophrenia,294790014.0,58214004,96745016.0,E10z,E10z.00,Schizophrenia NOS
Schizophrenia,243361000006117.0,191667009,294903010.0,E12,E12..00,Paranoid states
