Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Visual disturbances and blindness,2549896013.0,417677008,2549896013.0,2BBo,2BBo.00,O/E - sight threatening diabetic retinopathy
Visual disturbances and blindness,855291000006110.0,855291000006106,855291000006110.0,EGTONBL2,,Blind (subjectively)
Visual disturbances and blindness,1963661000006119.2,1963661000006103,1963661000006119.2,EMISNQDI223,,Disability code - Sight
Visual disturbances and blindness,7973691000006117.0,2531000000100,17781000000113.0,^ESCTEN797369,,England and Wales partially sighted certification
Visual disturbances and blindness,856171000006114.0,856171000006105,856171000006114.0,EGTONPA4,,Partially sighted (subjectively)
Visual disturbances and blindness,982291000006118.0,982291000006102,982291000006118.0,EMISCSI4,,Sight impairment
Visual disturbances and blindness,857631000006118.0,857631000006102,857631000006118.0,EGTONVI8,,Vision - blind despite any aid
Visual disturbances and blindness,2627081000006116.0,7973008,2164155010.0,^ESCTSI262708,,Sight impaired
Visual disturbances and blindness,1.2731791000006116e+16,566991000000106,1260591000000113.0,^ESCT1273179,,Visual loss NOS
Visual disturbances and blindness,734661000006116.0,240311000000103,390341000000115.0,1B75,1B75.00,Loss of vision
Visual disturbances and blindness,255275013.0,163946009,255275013.0,2B6A-1,2B6A.11,O/E - blind R-eye
Visual disturbances and blindness,255276014.0,163946009,255276014.0,2B6B,2B6B.00,O/E - R-eye completely blind
Visual disturbances and blindness,2163962013.0,408322003,2163962013.0,2B6S,2B6S.00,O/E - pinhole R-eye completely blind
Visual disturbances and blindness,255292016.0,163960006,255292016.0,2B7A-1,2B7A.11,O/E - blind L-eye
Visual disturbances and blindness,255293014.0,163960006,255293014.0,2B7B,2B7B.00,O/E - L-eye completely blind
Visual disturbances and blindness,2163958019.0,408318008,2163958019.0,2B7S,2B7S.00,O/E - pinhole L-eye completely blind
Visual disturbances and blindness,733161000000116.0,373041000000101,733161000000116.0,2BBr,2BBr.00,Impaired vision due to diabetic retinopathy
Visual disturbances and blindness,442202014.0,300994001,442202014.0,6688,6688.00,Registered partially sighted
Visual disturbances and blindness,17791000000110.0,2531000000100,17791000000110.0,6688-1,6688.11,Registered partially blind
Visual disturbances and blindness,264661019.0,170727003,264661019.0,6689,6689.00,Registered blind
Visual disturbances and blindness,1563201000000117.0,713031000000100,1563201000000117.0,668D,668D.00,Registered sight impaired
Visual disturbances and blindness,515731000006113.0,183361009,283416014.0,8F6-1,8F6..11,Blind rehabilitation
Visual disturbances and blindness,283416014.0,183361009,283416014.0,8F61,8F61.00,Blind rehabilitation
Visual disturbances and blindness,515711000006119.0,29960003,484447014.0,8F62,8F62.00,Blind lead dog rehabilitation
Visual disturbances and blindness,746431000000113.0,378931000000102,746431000000113.0,9NlD,9NlD.00,Seen by visual impairment teacher
Visual disturbances and blindness,493267010.0,4229009,493267010.0,F4041,F404100,Blind hypotensive eye
Visual disturbances and blindness,515791000006112.0,397540003,3011990016.0,F49,F49..00,Blindness and low vision
Visual disturbances and blindness,14191011.0,397540003,3011990016.0,F49-1,F49..11,Impaired vision
Visual disturbances and blindness,2164158012.0,7973008,2164158012.0,F49-3,F49..13,Partial sight
Visual disturbances and blindness,2164155010.0,397540003,3011990016.0,F49-4,F49..14,Sight impaired
Visual disturbances and blindness,515811000006111.0,193699007,298251016.0,F490,F490.00,"Blindness, both eyes"
Visual disturbances and blindness,298252011.0,193699007,298251016.0,F4900,F490000,Unspecified blindness both eyes
Visual disturbances and blindness,2619503012.0,193699007,2619503012.0,F4901,F490100,Both eyes total visual impairment
Visual disturbances and blindness,510281000006111.0,193699007,298251016.0,F4902,F490200,"Better eye: near total VI, Lesser eye: unspecified"
Visual disturbances and blindness,510261000006118.0,193704004,298256014.0,F4904,F490400,"Better eye: near total VI, Lesser eye: near total VI"
Visual disturbances and blindness,510311000006113.0,13734003,23430013.0,F4906,F490600,"Better eye: profound VI, Lesser eye: total VI"
Visual disturbances and blindness,456798010.0,193709009,3670145014.0,F4909,F490900,"Acquired blindness, both eyes"
Visual disturbances and blindness,298262016.0,193699007,298251016.0,F490z,F490z00,Blindness both eyes NOS
Visual disturbances and blindness,510181000006115.0,193711000,298263014.0,F491,F491.00,"Better eye: low vision, Lesser eye: profound VI"
Visual disturbances and blindness,298264015.0,193712007,298264015.0,F4910,F491000,"One eye blind, one eye low vision"
Visual disturbances and blindness,510191000006117.0,193711000,298263014.0,F4915,F491500,"Better eye: moderate VI, Lesser eye: blind, unspecified"
Visual disturbances and blindness,510221000006112.0,193719003,298274017.0,F4917,F491700,"Better eye: moderate VI, Lesser eye: near total VI"
Visual disturbances and blindness,298276015.0,193711000,298263014.0,F491z,F491z00,"One eye blind, one eye low vision NOS"
Visual disturbances and blindness,298277012.0,193722001,298277012.0,F492,F492.00,"Low vision, both eyes"
Visual disturbances and blindness,298278019.0,193722001,298277012.0,F4920,F492000,"Low vision, both eyes unspecified"
Visual disturbances and blindness,510201000006119.0,193722001,298277012.0,F4923,F492300,"Better eye: moderate VI, Lesser eye: low vision unspecified"
Visual disturbances and blindness,510211000006116.0,193728002,298283010.0,F4925,F492500,"Better eye: moderate VI, Lesser eye: moderate VI"
Visual disturbances and blindness,298284016.0,193722001,298277012.0,F492z,F492z00,"Low vision, both eyes NOS"
Visual disturbances and blindness,298285015.0,267727004,399719011.0,F493,F493.00,"Visual loss, both eyes unqualified"
Visual disturbances and blindness,298286019.0,193731001,298286019.0,F494,F494.00,Legal blindness USA
Visual disturbances and blindness,298287011.0,193732008,298287011.0,F495,F495.00,"Profound impairment, one eye"
Visual disturbances and blindness,298288018.0,22950006,38553019.0,F4950,F495000,"Blindness, one eye, unspecified"
Visual disturbances and blindness,298289014.0,193732008,298287011.0,F4951,F495100,"Lesser eye: total visual impairment, Better eye: unspecified"
Visual disturbances and blindness,747421000006119.0,193735005,298290017.0,F4952,F495200,"Lesser eye: total VI, Better eye: near normal vision"
Visual disturbances and blindness,747431000006116.0,193736006,298291018.0,F4953,F495300,"Lesser eye: total VI, Better eye: normal vision"
Visual disturbances and blindness,747351000006116.0,193732008,298287011.0,F4954,F495400,"Lesser eye: near total VI, Better eye: unspecified"
Visual disturbances and blindness,747341000006118.0,193738007,298293015.0,F4955,F495500,"Lesser eye: near total VI, Better eye: near normal vision"
Visual disturbances and blindness,734951000006114.0,111519001,2618966018.0,F4956,F495600,"Lesser eye: near total VI, Better eye: normal vision"
Visual disturbances and blindness,747361000006119.0,193741003,298296011.0,F4958,F495800,"Lesser eye: profound VI, Better eye: near normal vision"
Visual disturbances and blindness,456799019.0,22950006,38553019.0,F495A,F495A00,"Acquired blindness, one eye"
Visual disturbances and blindness,298299016.0,193732008,298287011.0,F495z,F495z00,Profound impairment one eye NOS
Visual disturbances and blindness,298300012.0,193745007,298300012.0,F496,F496.00,"Low vision, one eye"
Visual disturbances and blindness,298301011.0,193745007,298300012.0,F4960,F496000,"Low vision, one eye, unspecified"
Visual disturbances and blindness,747331000006111.0,193745007,298300012.0,F4964,F496400,"Lesser eye: moderate VI, Better eye: unspecified"
Visual disturbances and blindness,747311000006117.0,193751002,298306018.0,F4965,F496500,"Lesser eye: moderate VI, Better eye: near normal vision"
Visual disturbances and blindness,747321000006113.0,16169003,27365013.0,F4966,F496600,"Lesser eye: moderate VI, Better eye: normal vision"
Visual disturbances and blindness,298308017.0,193745007,298300012.0,F496z,F496z00,"Low vision, one eye NOS"
Visual disturbances and blindness,2168201000000116.8,813891000000107,2168201000000116.8,F498,F498.00,"Moderate visual impairment, binocular"
Visual disturbances and blindness,1816031000006118.0,815051000000106,2124351000000112.0,F499,F499.00,"Mild or no visual impairment, binocular"
Visual disturbances and blindness,1816041000006111.2,22950006,38553019.0,F49A,F49A.00,"Blindness, monocular"
Visual disturbances and blindness,2168211000000115.2,813901000000108,2168211000000115.2,F49C,F49C.00,"Moderate visual impairment, monocular"
Visual disturbances and blindness,298309013.0,267728009,399720017.0,F49y,F49y.00,"Visual loss, one eye, unqualified"
Visual disturbances and blindness,399455016.0,240311000000103,390341000000115.0,F49z,F49z.00,Visual loss NOS
Visual disturbances and blindness,347842017.0,105597003,169718011.0,F49z-1,F49z.11,Acquired blindness
Visual disturbances and blindness,298313018.0,193756007,298313018.0,F49z0,F49z000,Charles Bonnet syndrome
Visual disturbances and blindness,113901010.0,68574006,113901010.0,F4H73,F4H7300,Cortical blindness
Visual disturbances and blindness,2773231012.0,433147009,2773231012.0,Fy1,Fy1..00,Combined visual and hearing impairment
Visual disturbances and blindness,299506011.0,105597003,169718011.0,FyuL,FyuL.00,[X]Visual disturbances and blindness
Visual disturbances and blindness,515781000006114.0,212141007,323622018.0,SJ0z-1,SJ0z.11,Blindness - traumatic - NOS
Visual disturbances and blindness,460633016.0,397540003,1777162017.0,ZV410,ZV41000,[V]Problems with sight
