Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
Addison's disease,266381013.0,172021003,266381013.0,71220,7122000,Bilateral adrenalectomy and transposition of adrenal tissue
Addison's disease,266382018.0,302340005,443963019.0,71221,7122100,Bilateral adrenalectomy NEC
Tuberculosis,286325014.0,186270000,286325014.0,A176,A176.00,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,1491626013.0,386584007,1491626013.0,C154,C154.00,Corticoadrenal insufficiency
Addison's disease,485624014.0,363732003,485624014.0,C1541,C154100,Addison's disease
Addison's disease,398809019.0,386584007,1480726013.0,C154z,C154z00,Corticoadrenal insufficiency NOS
Addison's disease,178805019.0,237785004,3506672018.0,C154z-1,C154z11,Adrenal hypofunction
Addison's disease,356317017.0,386584007,1491625012.0,C154z-2,C154z12,Adrenal insufficiency NEC
Addison's disease,292837019.0,237785004,356349017.0,C155,C155.00,Other adrenal hypofunction
Addison's disease,292838012.0,237785004,356349017.0,C155z,C155z00,Other adrenal hypofunction NOS
Addison's disease,682621000006119.0,34253008,57198011.0,F3950,F395000,Myopathy due to Addison's disease
"Disease of arteries, arterioles and capilleries",639641000006113.0,175283003,271421014.0,7A110,7A11000,Emerg repl aneurysm bifurc aorta by anast aorta to fem art
"Disease of arteries, arterioles and capilleries",173461000006110.0,175284009,271422019.0,7A111,7A11100,Replace aneurysm bifurc aorta by anast aorta to femoral art
"Disease of arteries, arterioles and capilleries",639651000006110.0,265492000,394302013.0,7A112,7A11200,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
"Disease of arteries, arterioles and capilleries",173471000006115.0,265493005,394303015.0,7A113,7A11300,Replace aneurysm bifurc aorta by anast aorta to iliac artery
"Disease of arteries, arterioles and capilleries",410960011.0,275037003,410960011.0,7A113-1,7A11311,Y graft abdominal Aortic aneurysm
"Disease of arteries, arterioles and capilleries",639731000006112.0,175298001,271448010.0,7A130,7A13000,Emerg replace aneurysm asc aorta by anastom aorta to aorta
"Disease of arteries, arterioles and capilleries",639901000006118.0,175299009,271449019.0,7A131,7A13100,Emerg replace aneurysm thor aorta by anastom aorta to aorta
"Disease of arteries, arterioles and capilleries",639811000006110.0,175301002,271451015.0,7A133,7A13300,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
"Disease of arteries, arterioles and capilleries",639721000006114.0,123679006,192168019.0,7A134,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",349678018.0,233370007,349678018.0,7A14-1,7A14.11,Aortic aneurysm repair
"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008,183983017.0,7A140,7A14000,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173651000006110.0,116360008,183983017.0,7A141,7A14100,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",173431000006118.0,116360008,183983017.0,7A142,7A14200,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173411000006112.0,116360008,183983017.0,7A143,7A14300,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",173441000006111.0,448122008,2899751014.0,7A144,7A14400,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",349693019.0,233376001,349693019.0,7A144-1,7A14411,Tube graft of Abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",639351000006118.0,448122008,2899751014.0,7A154,7A15400,Emerg bypass abdominal aorta by anastom aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",1548161000006117.0,441612006,2816827015.0,7A1B0,7A1B000,Endovascular stenting infrarenal abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",359851000000113.0,378481000000107,745431000000115.0,7A1B1,7A1B100,Endovascular stenting of suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",357881000000111.0,378491000000109,745451000000110.0,7A1B2,7A1B200,Endovascular stenting of thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",488221000000111.0,307701005,451048019.0,7A1B6,7A1B600,Endovascular stenting for aortic aneurysm of bifurcation NEC
"Disease of arteries, arterioles and capilleries",1701691000006119.0,441612006,1650871000000115.0,7A1B8,7A1B800,Endovascul insert stent infrarenal abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1701701000006119.0,378481000000107,745431000000115.0,7A1B9,7A1B900,Endovascular insertion stent for suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1701731000006110.0,307701005,451048019.0,7A1BC,7A1BC00,Endovas insert stent for aortic aneurysm of bifurcation NEC
"Disease of arteries, arterioles and capilleries",1587731000006116.0,281261000000105,483781000000113.0,7A1C,7A1C.00,Translum insert stent graft for aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",1587741000006114.0,428809009,2695287013.0,7A1C0,7A1C000,Endovas ins stent graft for infrarenal abdom aortic aneurysm
"Disease of arteries, arterioles and capilleries",1587751000006111.0,281281000000101,483821000000117.0,7A1C1,7A1C100,Endovas insert of stent graft for suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1587801000006116.0,233404000,349735017.0,7A1Cy,7A1Cy00,OS translum ins stent graft for aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",1587811000006118.0,233404000,349735017.0,7A1Cz,7A1Cz00,Translum ins stent graft for aneurysmal segment of aorta NOS
"Disease of arteries, arterioles and capilleries",470121011.0,12232008,470121011.0,A930,A930.00,Syphilitic aortic aneurysm
"Disease of arteries, arterioles and capilleries",111949011.0,67362008,111949011.0,G71,G71..00,Aortic aneurysm
"Disease of arteries, arterioles and capilleries",2536174018.0,308546005,2536174018.0,G710,G710.00,Dissecting aortic aneurysm
"Disease of arteries, arterioles and capilleries",300437018.0,195258006,300437018.0,G711,G711.00,Thoracic aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",300438011.0,195258006,300438011.0,G711-1,G711.11,Ruptured thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",124373014.0,74883004,124373014.0,G712,G712.00,Thoracic aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",1221083011.0,14336007,1221083011.0,G713,G713.00,Abdominal aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",24379014.0,14336007,24379014.0,G713-1,G713.11,Ruptured abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",458502011.0,314184006,458502011.0,G7130,G713000,Ruptured suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",300441019.0,233985008,350580017.0,G714,G714.00,Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",300442014.0,233985008,350580017.0,G714-1,G714.11,AAA - Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",458503018.0,314185007,458503018.0,G7140,G714000,Juxtarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",458504012.0,314186008,458504012.0,G7141,G714100,Inflammatory abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",1756091000006111.0,444569004,2871141013.0,G7142,G714200,Infrarenal abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",2674096019.0,426270006,2674096019.0,G7143,G714300,Aneurysm of suprarenal aorta
"Disease of arteries, arterioles and capilleries",300445011.0,73067008,121362018.0,G715,G715.00,Ruptured aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",300446012.0,195265003,300446012.0,G7150,G715000,"Thoracoabdominal aortic aneurysm, ruptured"
"Disease of arteries, arterioles and capilleries",300447015.0,67362008,111949011.0,G716,G716.00,Aortic aneurysm without mention of rupture NOS
"Disease of arteries, arterioles and capilleries",300448013.0,233984007,350579015.0,G7160,G716000,"Thoracoabdominal aortic aneurysm, without mention of rupture"
"Disease of arteries, arterioles and capilleries",488301000006118.0,12232008,470121011.0,G717,G717.00,Aortic aneurysm - syphilitic
"Disease of arteries, arterioles and capilleries",300449017.0,195268001,300449017.0,G718,G718.00,Leaking abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",300450017.0,67362008,111949011.0,G71z,G71z.00,Aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",300960019.0,67362008,111949011.0,Gyu71,Gyu7100,"[X]Aortic aneurysm of unspecified site, ruptured"
"Disease of arteries, arterioles and capilleries",300961015.0,67362008,111949011.0,Gyu72,Gyu7200,"[X]Aortic aneurysm of unspecified site, nonruptured"
"Disease of arteries, arterioles and capilleries",300968014.0,67362008,111949011.0,Gyu78,Gyu7800,[X]Aneurysm of aorta in diseases classified elsewhere
Other forms of heart disease,635591000006118.0,164901004,256490016.0,3293,3293.00,ECG:complete sinu-atrial block
Other forms of heart disease,634991000006112.0,164903001,256492012.0,3295,3295.00,ECG: partial A-V block - 2:1
Other forms of heart disease,635001000006117.0,164904007,256493019.0,3296,3296.00,ECG: partial A-V block - 3:1
Other forms of heart disease,256494013.0,164905008,256494013.0,3297,3297.00,ECG: Wenckebach phenomenon
Other forms of heart disease,1765921000006112.0,164905008,1739491000000118.0,3297-1,3297.11,Electrocardiogram: Mobitz type 1 second degree AV block
Other forms of heart disease,634591000006119.0,164906009,256495014.0,3298,3298.00,ECG: complete A-V block
Other forms of heart disease,256496010.0,164907000,256496010.0,3299,3299.00,ECG: right bundle branch block
Other forms of heart disease,256500012.0,164909002,256500012.0,329A,329A.00,ECG: left bundle branch block
Other forms of heart disease,1738951000006119.0,445309007,2871902010.0,329B,329B.00,ECG: trifascicular block
Other forms of heart disease,1765931000006110.0,426183003,1689181000000114.0,329H,329H.00,Electrocardiogram: Mobitz type 2 second degree AV block
Other forms of heart disease,46670010.0,27885002,46670010.0,G560,G560.00,Complete atrioventricular block
Other forms of heart disease,46671014.0,27885002,46671014.0,G560-1,G560.11,Third degree atrioventricular block
Other forms of heart disease,47191011.0,28189009,47191011.0,G5612,G561200,Mobitz type II atrioventricular block
Other forms of heart disease,699951000006113.0,54016002,1231274018.0,G5613,G561300,Mobitz type I (Wenckebach) atrioventricular block
Other forms of heart disease,1231273012.0,54016002,1231273012.0,G5613-1,G561311,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,300073018.0,195042002,300073018.0,G5614,G561400,Second degree atrioventricular block
Other forms of heart disease,105498014.0,63467002,105498014.0,G562-1,G562.11,Left bundle branch block
Other forms of heart disease,300079019.0,195046004,300079019.0,G563,G563.00,Left main stem bundle branch block
Other forms of heart disease,98239015.0,59118001,98239015.0,G564,G564.00,Right bundle branch block
Other forms of heart disease,300080016.0,6374002,11568018.0,G565,G565.00,Other bundle branch block
Other forms of heart disease,300081017.0,6374002,11568018.0,G5650,G565000,Bundle branch block unspecified
Other forms of heart disease,300084013.0,20143001,33890011.0,G5653,G565300,Other bilateral bundle branch block
Other forms of heart disease,142607010.0,86014007,142607010.0,G5654,G565400,Trifascicular block
