,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,Term,CleansedReadCode
0,Addison's disease,266381013.0,172021003.0,266381013.0,71220,Bilateral adrenalectomy and transposition of adrenal tissue,7122000
1,Addison's disease,266382018.0,302340005.0,443963019.0,71221,Bilateral adrenalectomy,7122100
2,Addison's disease,286325014.0,186270000.0,286325014.0,^ESCTAD474131,Tuberculosis of adrenal glands - Addison's disease,A176.00
3,Addison's disease,286325014.0,186270000.0,286325014.0,A176,Tuberculosis of adrenal glands - Addison's disease,A176.00
4,Addison's disease,286325014.0,186270000.0,286325014.0,^ESCTTU474132,Tuberculosis of adrenal glands - Addison's disease,A176.00
5,Addison's disease,286325014.0,186270000.0,286325014.0,^ESCTTU474129,Tuberculosis of adrenal glands - Addison's disease,A176.00
6,Addison's disease,1491626013.0,386584007.0,1491626013.0,C154z,Corticoadrenal insufficiency,C154.00
7,Addison's disease,1491626013.0,386584007.0,1491626013.0,C154z-2,Corticoadrenal insufficiency,C154.00
8,Addison's disease,1491626013.0,386584007.0,1491626013.0,^ESCTHY645770,Corticoadrenal insufficiency,C154.00
9,Addison's disease,1491626013.0,386584007.0,1491626013.0,^ESCTAD645769,Corticoadrenal insufficiency,C154.00
10,Addison's disease,1491626013.0,386584007.0,1491626013.0,^ESCTAD645768,Corticoadrenal insufficiency,C154.00
11,Addison's disease,1491626013.0,386584007.0,1491626013.0,C154,Corticoadrenal insufficiency,C154.00
12,Addison's disease,485624014.0,363732003.0,485624014.0,C1541,Addison's disease,C154100
13,Addison's disease,485624014.0,363732003.0,485624014.0,^ESCTAD625037,Addison's disease,C154100
14,Addison's disease,398809019.0,386584007.0,1480726013.0,C154z,Corticoadrenal insufficiency NOS,C154z00
15,Addison's disease,398809019.0,386584007.0,1480726013.0,C154z-2,Corticoadrenal insufficiency NOS,C154z00
16,Addison's disease,398809019.0,386584007.0,1480726013.0,^ESCTHY645770,Corticoadrenal insufficiency NOS,C154z00
17,Addison's disease,398809019.0,386584007.0,1480726013.0,^ESCTAD645769,Corticoadrenal insufficiency NOS,C154z00
18,Addison's disease,398809019.0,386584007.0,1480726013.0,^ESCTAD645768,Corticoadrenal insufficiency NOS,C154z00
19,Addison's disease,398809019.0,386584007.0,1480726013.0,C154,Corticoadrenal insufficiency NOS,C154z00
20,Addison's disease,178805019.0,237785004.0,3506672018.0,C154z-1,Adrenal hypofunction,C154z11
21,Addison's disease,178805019.0,237785004.0,3506672018.0,C155,Adrenal hypofunction,C154z11
22,Addison's disease,178805019.0,237785004.0,3506672018.0,C155z,Adrenal hypofunction,C154z11
23,Addison's disease,178805019.0,237785004.0,3506672018.0,^ESCTHY511239,Adrenal hypofunction,C154z11
24,Addison's disease,356317017.0,386584007.0,1491625012.0,C154z,Adrenal insufficiency,C154z12
25,Addison's disease,356317017.0,386584007.0,1491625012.0,C154z-2,Adrenal insufficiency,C154z12
26,Addison's disease,356317017.0,386584007.0,1491625012.0,^ESCTHY645770,Adrenal insufficiency,C154z12
27,Addison's disease,356317017.0,386584007.0,1491625012.0,^ESCTAD645769,Adrenal insufficiency,C154z12
28,Addison's disease,356317017.0,386584007.0,1491625012.0,^ESCTAD645768,Adrenal insufficiency,C154z12
29,Addison's disease,356317017.0,386584007.0,1491625012.0,C154,Adrenal insufficiency,C154z12
30,Addison's disease,292837019.0,237785004.0,356349017.0,C154z-1,Hypoadrenalism,C155.00
31,Addison's disease,292837019.0,237785004.0,356349017.0,C155,Hypoadrenalism,C155.00
32,Addison's disease,292837019.0,237785004.0,356349017.0,C155z,Hypoadrenalism,C155.00
33,Addison's disease,292837019.0,237785004.0,356349017.0,^ESCTHY511239,Hypoadrenalism,C155.00
34,Addison's disease,292838012.0,237785004.0,356349017.0,C154z-1,Other adrenal hypofunction NOS,C155z00
35,Addison's disease,292838012.0,237785004.0,356349017.0,C155,Other adrenal hypofunction NOS,C155z00
36,Addison's disease,292838012.0,237785004.0,356349017.0,C155z,Other adrenal hypofunction NOS,C155z00
37,Addison's disease,292838012.0,237785004.0,356349017.0,^ESCTHY511239,Other adrenal hypofunction NOS,C155z00
38,Addison's disease,682621000006119.0,34253008.0,57198011.0,F3950,Myopathy due to Addison's disease,F395000
39,Addison's disease,682621000006119.0,34253008.0,57198011.0,^ESCTMY305155,Myopathy due to Addison's disease,F395000
40,Addison's disease,682621000006119.0,34253008.0,57198011.0,^ESCTMY305156,Myopathy due to Addison's disease,F395000
41,"Disease of arteries, arterioles and capilleries",251699010.0,161514008.0,251699010.0,14AE,H/O: aortic aneurysm,14AE.00
42,"Disease of arteries, arterioles and capilleries",251699010.0,161514008.0,251699010.0,^ESCTHI454065,H/O: aortic aneurysm,14AE.00
43,"Disease of arteries, arterioles and capilleries",1795071000000116.0,707265005.0,3029507018.0,66f3,Aortic aneurysm monitoring,66f3.00
44,"Disease of arteries, arterioles and capilleries",639721000006114.0,123679006.0,192168019.0,7A134,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,7A13400
45,"Disease of arteries, arterioles and capilleries",639721000006114.0,123679006.0,192168019.0,^ESCTDI435459,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,7A13400
46,"Disease of arteries, arterioles and capilleries",639721000006114.0,123679006.0,192168019.0,^ESCTAR435458,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,7A13400
47,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47-4,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
48,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47-3,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
49,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47-2,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
50,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47-5,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
51,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47-1,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
52,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A142,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
53,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A140,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
54,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A409,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
55,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40D,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
56,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40B,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
57,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40C,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
58,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A141,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
59,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A163,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
60,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A162,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
61,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A161,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
62,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A419,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
63,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41A,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
64,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41D,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
65,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41B,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
66,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A150,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
67,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A414,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
68,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A415,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
69,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A416,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
70,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A47D,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
71,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTAR427147,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
72,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTCR427152,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
73,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTCR427149,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
74,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTCR427151,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
75,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTCR427148,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
76,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A333,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
77,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A40y,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
78,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A164,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
79,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,^ESCTBY427150,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
80,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A16,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
81,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A332,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
82,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41y,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
83,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A41z,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
84,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A330,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
85,"Disease of arteries, arterioles and capilleries",173451000006113.0,116360008.0,183983017.0,7A331,Replace aneurysm ascend aorta by anast of aorta/aorta NEC,7A14000
