Multiply-Initiative condition,Inflaim LTC
Iron deficiency with and without anaemia,Iron deficiency anaemia
Adrenal insufficiency and Addison's disease,Addison's disease
Retinal detachments and breaks,Retinal detachments and breaks
Cerebrovascular disease,Cerebrovascular disease
Peripheral arterial disease,"Disease of arteries, arterioles and capilleries"
Aortic aneurysm,"Disease of arteries, arterioles and capilleries"
Venous thromboembolism,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
Peripheral venous and lymphatic disease,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
Heart valve disease non-rheumatic,Other forms of heart disease
Cardiac conduction defects,Other forms of heart disease
Hypertrophic Cardiomyopathy,Other forms of heart disease
Cardiomyopathy other,Other forms of heart disease
Supraventricular tachycardia,Other forms of heart disease
Heart failure,Other forms of heart disease
Giant Cell arteritis,Systemic connective tissue disorders
Lupus erythematosus (local and systemic),Systemic connective tissue disorders
Polymyalgia Rheumatica,Systemic connective tissue disorders
Systemic sclerosis,Systemic connective tissue disorders
